protocol,track,representation,model,fold,n_features,n_discovered,n_train,n_validation,rmse,mae,r2,target_mean,target_std
fold_state_stratified,clean,B4_base_plus_empirical,ExtraTrees,1,783,0,110,28,0.5763578160056573,0.4072686507936506,0.5563865505011929,3.9039285714285716,0.8812253223682743
fold_state_stratified,clean,B4_base_plus_empirical,ExtraTrees,2,783,0,110,28,0.49981547862520875,0.40971194444444453,0.6137368229665311,4.050714285714286,0.818964696799059
fold_state_stratified,clean,B4_base_plus_empirical,ExtraTrees,3,783,0,110,28,0.4122168994857196,0.30852242913832184,0.7606856944863354,3.9474999999999993,0.8581013710296488
fold_state_stratified,clean,B4_base_plus_empirical,ExtraTrees,4,783,0,111,27,0.5587935938048018,0.3543928600823048,0.5801440332579906,3.817407407407407,0.8788129782338507
fold_state_stratified,clean,B4_base_plus_empirical,ExtraTrees,5,783,0,111,27,0.4927545690121945,0.38333899764844187,0.6567370584025136,4.055925925925926,0.8570623317214684
fold_municipality_grouped,clean,B4_base_plus_empirical,ExtraTrees,1,783,0,105,33,0.8722018636628867,0.7825473737373749,-4.362081573294282,3.0454545454545454,0.3825007427206099
fold_municipality_grouped,clean,B4_base_plus_empirical,ExtraTrees,2,783,0,122,16,1.1323666780915607,1.053176388888886,-6.263932267646419,3.08125,0.43392587692677037
fold_municipality_grouped,clean,B4_base_plus_empirical,ExtraTrees,3,783,0,128,10,0.8221740092952065,0.8076727777777769,-20.14454945605284,4.520999999999999,0.1884704515596839
fold_municipality_grouped,clean,B4_base_plus_empirical,ExtraTrees,4,783,0,65,73,0.9644890446206513,0.8747203576864538,-1.6059707041309013,4.456712328767122,0.6015998457689494
fold_municipality_grouped,clean,B4_base_plus_empirical,ExtraTrees,5,783,0,132,6,0.70553018455726,0.685768333333335,0.2054033864885999,4.248333333333332,0.8670274889913622
fold_state_stratified,clean,B5_all,Ridge10,1,906,0,110,28,0.7250782299773508,0.5890521562065562,0.29791440516449874,3.9039285714285716,0.8812253223682743
fold_state_stratified,clean,B5_all,Ridge10,2,906,0,110,28,0.6372236579304884,0.5271336883801248,0.3721618700396002,4.050714285714286,0.818964696799059
fold_state_stratified,clean,B5_all,Ridge10,3,906,0,110,28,0.6656847323775313,0.5317269415371068,0.37589987680398995,3.9474999999999993,0.8581013710296488
fold_state_stratified,clean,B5_all,Ridge10,4,906,0,111,27,0.7174864830992633,0.5040296049852357,0.30781060730315335,3.817407407407407,0.8788129782338507
fold_state_stratified,clean,B5_all,Ridge10,5,906,0,111,27,0.6561080914758354,0.5007682337156736,0.3914218053870838,4.055925925925926,0.8570623317214684
fold_municipality_grouped,clean,B5_all,Ridge10,1,906,0,105,33,0.7294581833250008,0.6111339842025276,-2.750595234228955,3.0454545454545454,0.3825007427206099
fold_municipality_grouped,clean,B5_all,Ridge10,2,906,0,122,16,1.450946733449129,1.3422130176966771,-10.926158096183109,3.08125,0.43392587692677037
fold_municipality_grouped,clean,B5_all,Ridge10,3,906,0,128,10,0.9162882753517029,0.7645790544834115,-25.262448107447746,4.520999999999999,0.1884704515596839
fold_municipality_grouped,clean,B5_all,Ridge10,4,906,0,65,73,0.8551405481349987,0.7100110362492636,-1.0485658603629107,4.456712328767122,0.6015998457689494
fold_municipality_grouped,clean,B5_all,Ridge10,5,906,0,132,6,1.1365209515163792,0.9947628505058687,-1.0619133223285222,4.248333333333332,0.8670274889913622
fold_state_stratified,clean,B5_all,ExtraTrees,1,906,0,110,28,0.5676803156161209,0.3944575595238097,0.56964386235863,3.9039285714285716,0.8812253223682743
fold_state_stratified,clean,B5_all,ExtraTrees,2,906,0,110,28,0.489279591493831,0.3962474801587303,0.6298496984854043,4.050714285714286,0.818964696799059
fold_state_stratified,clean,B5_all,ExtraTrees,3,906,0,110,28,0.41505331071346047,0.30530267857142884,0.7573809821849758,3.9474999999999993,0.8581013710296488
fold_state_stratified,clean,B5_all,ExtraTrees,4,906,0,111,27,0.5590515124574955,0.36120248971193464,0.5797563635441162,3.817407407407407,0.8788129782338507
fold_state_stratified,clean,B5_all,ExtraTrees,5,906,0,111,27,0.480778071065837,0.3739739094650203,0.6732204266559385,4.055925925925926,0.8570623317214684
fold_municipality_grouped,clean,B5_all,ExtraTrees,1,906,0,105,33,0.8150785506002177,0.7188640909090918,-3.6827214532897905,3.0454545454545454,0.3825007427206099
