protocol,outer_fold,meta_model,meta_kind,n_train,n_validation,n_base_candidates,n_meta_features,inner_best_rmse,best_params_json,elapsed_seconds,rmse,mae,r2
fold_state_stratified,4,ElasticNetStack,elastic_net,111,27,10,15,0.48262633257999443,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.1}",0.10478860000148416,0.5742340447072476,0.3767928298100098,0.5566207480044456
fold_state_stratified,4,HuberStack,huber,111,27,10,15,0.5074874910855586,"{""model__alpha"": 0.1, ""model__epsilon"": 1.5}",0.3716170000843704,0.5580217380874878,0.36024891624587135,0.5813031174563419
fold_state_stratified,4,ExtraTreesStack,extra_trees,111,27,10,15,0.46986377234360616,"{""max_features"": 0.5, ""min_samples_leaf"": 8}",4.827105199918151,0.590718753346621,0.38501155934270204,0.5307989132979212
fold_state_stratified,4,HistGBStack,hist_gradient_boosting,111,27,10,15,0.5403958006791211,"{""l2_regularization"": 10.0, ""learning_rate"": 0.03, ""max_leaf_nodes"": 5}",1.2752441000193357,0.625518654534203,0.43366322031376126,0.4738882221310229
fold_state_stratified,5,EqualTop3,equal_top3,111,27,10,15,,{},0.0012309998273849487,0.4861291852977618,0.37217731891743816,0.6659057582756647
fold_state_stratified,5,MeanAll,mean_all,111,27,10,15,,{},0.001424199901521206,0.5057078949374034,0.3828022698959282,0.6384527458761006
fold_state_stratified,5,ConvexAll,convex_simplex,111,27,10,15,,{},0.011887199943885207,0.5058606620847118,0.3820619989601561,0.6382342763379951
fold_state_stratified,5,RidgeStack,ridge,111,27,10,15,0.5565824790886938,"{""model__alpha"": 100.0}",0.06960810022428632,0.49436979301187756,0.3663435659549549,0.654482973712315
fold_state_stratified,5,ElasticNetStack,elastic_net,111,27,10,15,0.557700000316827,"{""model__alpha"": 0.1, ""model__l1_ratio"": 0.1}",0.1095941998064518,0.4899735471274852,0.36812099898742645,0.6606007583144435
fold_state_stratified,5,HuberStack,huber,111,27,10,15,0.5415949637573588,"{""model__alpha"": 0.001, ""model__epsilon"": 1.5}",0.4899756000377238,0.5477047578730548,0.4379626379293515,0.5759094186617145
fold_state_stratified,5,ExtraTreesStack,extra_trees,111,27,10,15,0.5380940421180824,"{""max_features"": 0.5, ""min_samples_leaf"": 8}",4.818043900188059,0.4580544627609111,0.33223863287974037,0.703380405017449
