protocol,representation,model,fold,n_features,n_primitives,n_discovered,n_train,n_validation,inner_best_rmse,best_params_json,catboost_task_type,elapsed_seconds,rmse,mae,r2
fold_municipality_grouped,C0_base,PCA_RBF,3,1400,0,0,128,10,3.6816790182830217,"{""alpha"": 1.0, ""gamma"": 0.02, ""n_components"": 24}",,0.9799086002167314,4.524388424804958,4.520852928259627,-639.3106327538885
fold_municipality_grouped,C0_base,PCA_Poly2,3,1400,0,0,128,10,1.8214955397218064,"{""alpha"": 1.0, ""gamma"": 0.1, ""n_components"": 8}",,0.9655112000182271,1.2169891749411081,0.8389107003553817,-45.32808820807148
fold_municipality_grouped,C0_base,Ridge,4,1400,0,0,65,73,0.966317272649337,"{""alpha"": 1000.0}",,0.3637433999683708,0.8370139424184299,0.7339310392557572,-0.9626385080143176
fold_municipality_grouped,C0_base,ElasticNet,4,1400,0,0,65,73,0.9562594973256234,"{""alpha"": 1.0, ""l1_ratio"": 0.9}",,1.4453537999652326,1.220623514356475,1.1397260273972605,-3.1738649731530115
fold_municipality_grouped,C0_base,ExtraTrees,4,1400,0,0,65,73,1.0845669726698663,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}",,3.84638430015184,0.8497168140683841,0.7527333276255714,-1.0226621862396525
fold_municipality_grouped,C0_base,CatBoost,4,1400,0,0,65,73,0.9249055842423904,"{""depth"": 4, ""l2_leaf_reg"": 6.0, ""learning_rate"": 0.06}",GPU,34.70590710011311,0.9745858337277273,0.8585712051424899,-1.6608176938513575
fold_municipality_grouped,C0_base,PLS,4,1400,0,0,65,73,0.9711834888545399,"{""n_components"": 2}",,0.4269251001533121,0.8705675327901032,0.7731763503578767,-1.1231460204950579
fold_municipality_grouped,C0_base,PCA_RBF,4,1400,0,0,65,73,3.49722958514849,"{""alpha"": 1.0, ""gamma"": 0.02, ""n_components"": 24}",,0.5384029999841005,4.496479381275655,4.4566131028506035,-55.639595585585134
fold_municipality_grouped,C0_base,PCA_Poly2,4,1400,0,0,65,73,1.8901633358207353,"{""alpha"": 1.0, ""gamma"": 0.02, ""n_components"": 24}",,0.536127100000158,2.5354357845272784,2.3273300734267766,-17.008608729625383
fold_municipality_grouped,C0_base,Ridge,5,1400,0,0,132,6,0.9435048630814076,"{""alpha"": 1000.0}",,0.46658929996192455,0.5462947954892926,0.44832418987810696,0.5236023195696733
fold_municipality_grouped,C0_base,ElasticNet,5,1400,0,0,132,6,0.8712089630289298,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",,2.6331434999592602,0.8626095060730677,0.755302686647826,-0.18780183481070023
fold_municipality_grouped,C0_base,ExtraTrees,5,1400,0,0,132,6,0.9421515696138819,"{""max_features"": 0.3, ""min_samples_leaf"": 2}",,4.100815100129694,0.8069143978497222,0.7749444444444479,-0.03937063228960813
fold_municipality_grouped,C0_base,CatBoost,5,1400,0,0,132,6,0.8955012158600786,"{""depth"": 4, ""l2_leaf_reg"": 6.0, ""learning_rate"": 0.06}",GPU,41.653911399887875,0.682315919261916,0.5574797573038858,0.2568328230002346
fold_municipality_grouped,C0_base,PLS,5,1400,0,0,132,6,0.9334437592502526,"{""n_components"": 2}",,0.5084410000126809,0.5045764550712871,0.43100024675289056,0.5935852375413803
fold_municipality_grouped,C0_base,PCA_RBF,5,1400,0,0,132,6,3.753236938605742,"{""alpha"": 1.0, ""gamma"": 0.1, ""n_components"": 8}",,0.9616823999676853,4.321429854752567,4.248330411841123,-28.810581525608903
fold_municipality_grouped,C0_base,PCA_Poly2,5,1400,0,0,132,6,1.386129017335576,"{""alpha"": 1.0, ""gamma"": 0.1, ""n_components"": 8}",,0.9654667000286281,0.828960348781758,0.7499659727199424,-0.09694038935112292
fold_state_stratified,C1_agronomic,Ridge,1,350,0,0,110,28,0.5581903445871469,"{""alpha"": 100.0}",,0.17633139993995428,0.6293895222505885,0.42411533158809,0.470995522325814
fold_state_stratified,C1_agronomic,ElasticNet,1,350,0,0,110,28,0.5083913191735931,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",,2.1811956001911312,0.580910598442092,0.4087312056488929,0.549350461443427
fold_state_stratified,C1_agronomic,ExtraTrees,1,350,0,0,110,28,0.4924983189362271,"{""max_features"": 0.3, ""min_samples_leaf"": 2}",,3.5236523000057787,0.5407933051437201,0.3483272321428577,0.609444333148288
fold_state_stratified,C1_agronomic,CatBoost,1,350,0,0,110,28,0.4895933657705012,"{""depth"": 4, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.03}",GPU,26.29474480007775,0.5390129427474375,0.3667629058929786,0.6120116210809269
fold_state_stratified,C1_agronomic,PLS,1,350,0,0,110,28,0.5461951955169856,"{""n_components"": 2}",,0.16129499999806285,0.5670444121977402,0.41909455813397095,0.5706074739361344
fold_state_stratified,C1_agronomic,PCA_RBF,1,350,0,0,110,28,3.4719786508638717,"{""alpha"": 1.0, ""gamma"": 0.02, ""n_components"": 24}",,0.4338650999125093,3.0533070933259774,2.850001814361826,-11.449769302549633
fold_state_stratified,C1_agronomic,PCA_Poly2,1,350,0,0,110,28,0.9465762846629238,"{""alpha"": 1.0, ""gamma"": 0.1, ""n_components"": 8}",,0.42886510002426803,0.5757021306307585,0.39396404714313554,0.5573953175910198
fold_state_stratified,C1_agronomic,Ridge,2,350,0,0,110,28,0.5485935232170599,"{""alpha"": 1000.0}",,0.1632193000987172,0.5438475933794207,0.4341670019748886,0.5426819665247545
fold_state_stratified,C1_agronomic,ElasticNet,2,350,0,0,110,28,0.5118894618052869,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",,2.0186034999787807,0.5127043994113584,0.40564068081010834,0.5935585488305388
fold_state_stratified,C1_agronomic,ExtraTrees,2,350,0,0,110,28,0.5119162867628771,"{""max_features"": 0.3, ""min_samples_leaf"": 3}",,3.5157777001149952,0.4838604533590505,0.3900841369047619,0.6380036752735552
fold_state_stratified,C1_agronomic,CatBoost,2,350,0,0,110,28,0.5172174506026135,"{""depth"": 4, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.03}",GPU,26.59452940011397,0.5389192543157754,0.43154588588041204,0.5509328306328967
fold_state_stratified,C1_agronomic,PLS,2,350,0,0,110,28,0.5292831015912407,"{""n_components"": 2}",,0.16453700000420213,0.5444754128362753,0.41489571213049725,0.5416254981866655
fold_state_stratified,C1_agronomic,PCA_RBF,2,350,0,0,110,28,3.394264423219173,"{""alpha"": 1.0, ""gamma"": 0.02, ""n_components"": 24}",,0.4557215999811888,3.14305996266397,2.9991488472939913,-14.27457861933296
fold_state_stratified,C1_agronomic,PCA_Poly2,2,350,0,0,110,28,0.9739055130546737,"{""alpha"": 1.0, ""gamma"": 0.02, ""n_components"": 24}",,0.4488442000001669,0.8837757179875502,0.7014866363357042,-0.2076693248739523
fold_state_stratified,C1_agronomic,Ridge,3,350,0,0,110,28,0.5802920773092768,"{""alpha"": 1000.0}",,0.16434439993463457,0.4550545740082342,0.38782859701675054,0.7083620454515107
fold_state_stratified,C1_agronomic,ElasticNet,3,350,0,0,110,28,0.5869765972939681,"{""alpha"": 0.1, ""l1_ratio"": 0.5}",,1.8350584001746029,0.39717746161132844,0.3317973097661611,0.7778295640545234
fold_state_stratified,C1_agronomic,ExtraTrees,3,350,0,0,110,28,0.5217444008391748,"{""max_features"": 0.3, ""min_samples_leaf"": 3}",,3.4804762999992818,0.384494508500707,0.29365869047619103,0.7917920259602207
fold_state_stratified,C1_agronomic,CatBoost,3,350,0,0,110,28,0.5389474162054722,"{""depth"": 4, ""l2_leaf_reg"": 3.0, ""learning_rate"": 0.03}",GPU,26.297283899970353,0.42688800493331136,0.32297296238375633,0.7433478072711479
fold_state_stratified,C1_agronomic,PLS,3,350,0,0,110,28,0.5887567659543838,"{""n_components"": 2}",,0.1594670000486076,0.3843742463319432,0.3206994000680431,0.7919222521456415
fold_state_stratified,C1_agronomic,PCA_RBF,3,350,0,0,110,28,3.4159646501455145,"{""alpha"": 1.0, ""gamma"": 0.02, ""n_components"": 24}",,0.4418968001846224,3.429854190996132,3.2827168930209822,-15.567935345802837
fold_state_stratified,C1_agronomic,PCA_Poly2,3,350,0,0,110,28,1.217428634973259,"{""alpha"": 1.0, ""gamma"": 0.1, ""n_components"": 8}",,0.446793100098148,0.8116997596911535,0.5564764019673306,0.0720856090027634
fold_state_stratified,C1_agronomic,Ridge,4,350,0,0,111,27,0.5378439530547877,"{""alpha"": 1000.0}",,0.16351929982192814,0.6164738232497992,0.4333716966806453,0.48899308991393775
fold_state_stratified,C1_agronomic,ElasticNet,4,350,0,0,111,27,0.5131328003973836,"{""alpha"": 0.1, ""l1_ratio"": 0.9}",,1.7844662999268621,0.5845030498860222,0.396534495737048,0.5406210872064003
fold_state_stratified,C1_agronomic,ExtraTrees,4,350,0,0,111,27,0.4941033308967116,"{""max_features"": 0.3, ""min_samples_leaf"": 3}",,3.564297700067982,0.5700649083184841,0.362924367283951,0.5630355476386042
fold_state_stratified,C1_agronomic,CatBoost,4,350,0,0,111,27,0.495721680940787,"{""depth"": 4, ""l2_leaf_reg"": 6.0, ""learning_rate"": 0.06}",GPU,26.23708270001225,0.6114805207894388,0.41286544737881253,0.4972376518633336
