protocol,representation,model,kind,fold,n_features,n_primitives,n_discovered,n_train,n_validation,inner_best_rmse,best_params_json,compute,elapsed_seconds,rmse,mae,r2
fold_municipality_grouped,G0_base,XGBoostLarge,xgboost,5,1400,0,0,132,6,0.806716522669929,"{""colsample_bytree"": 0.65, ""learning_rate"": 0.012, ""max_depth"": 3, ""min_child_weight"": 5.0, ""n_estimators"": 2500, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 0.85}",GPU,24.599785700207576,0.4801515481592666,0.41095327059427894,0.6319793575236603
fold_state_stratified,G1_agronomic,XGBoostLarge,xgboost,1,350,0,0,110,28,0.5226969362987702,"{""colsample_bytree"": 0.65, ""learning_rate"": 0.012, ""max_depth"": 3, ""min_child_weight"": 5.0, ""n_estimators"": 2500, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 0.85}",GPU,23.095387500012293,0.5871577900775369,0.4012784985133579,0.5396056502351569
fold_state_stratified,G1_agronomic,XGBoostLarge,xgboost,2,350,0,0,110,28,0.525387830350622,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 8.0, ""n_estimators"": 2500, ""reg_alpha"": 0.3, ""reg_lambda"": 30.0, ""subsample"": 0.85}",GPU,20.742901500081643,0.5066378907698157,0.40839380468641007,0.6031199770336371
fold_state_stratified,G1_agronomic,XGBoostLarge,xgboost,3,350,0,0,110,28,0.6426496686445057,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 8.0, ""n_estimators"": 2500, ""reg_alpha"": 0.3, ""reg_lambda"": 30.0, ""subsample"": 0.85}",GPU,20.63141439994797,0.4321451809802829,0.34078452042170937,0.7369874789054703
fold_state_stratified,G1_agronomic,XGBoostLarge,xgboost,4,350,0,0,111,27,0.49843072927161797,"{""colsample_bytree"": 0.65, ""learning_rate"": 0.012, ""max_depth"": 3, ""min_child_weight"": 5.0, ""n_estimators"": 2500, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 0.85}",GPU,20.920421899994835,0.5752286163174902,0.3730240005917019,0.5550835549309514
fold_state_stratified,G1_agronomic,XGBoostLarge,xgboost,5,350,0,0,111,27,0.5537215188546956,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 8.0, ""n_estimators"": 2500, ""reg_alpha"": 0.3, ""reg_lambda"": 30.0, ""subsample"": 0.85}",GPU,20.714501400012523,0.5148115362039754,0.412302672068278,0.625318594599019
fold_municipality_grouped,G1_agronomic,XGBoostLarge,xgboost,1,350,0,0,105,33,0.8622291907018785,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 3.0, ""n_estimators"": 1500, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""subsample"": 0.85}",GPU,19.299018899910152,0.5397477312525392,0.4160315123471347,-1.053435410900807
fold_municipality_grouped,G1_agronomic,XGBoostLarge,xgboost,2,350,0,0,122,16,0.7369852765178452,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 3.0, ""n_estimators"": 1500, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""subsample"": 0.85}",GPU,20.220341100124642,1.3318548722301549,1.270838212966919,-9.048735883489705
fold_municipality_grouped,G1_agronomic,XGBoostLarge,xgboost,3,350,0,0,128,10,0.745675359878828,"{""colsample_bytree"": 0.65, ""learning_rate"": 0.012, ""max_depth"": 3, ""min_child_weight"": 5.0, ""n_estimators"": 2500, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 0.85}",GPU,20.543382900068536,0.3518140035863313,0.2571431837081909,-2.8716598304433356
fold_municipality_grouped,G1_agronomic,XGBoostLarge,xgboost,4,350,0,0,65,73,1.1384879392502352,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 8.0, ""n_estimators"": 2500, ""reg_alpha"": 0.3, ""reg_lambda"": 30.0, ""subsample"": 0.85}",GPU,20.502873599994928,0.6604139992028463,0.5159374169127582,-0.22182068297479418
fold_municipality_grouped,G1_agronomic,XGBoostLarge,xgboost,5,350,0,0,132,6,0.8893521111325683,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 8.0, ""n_estimators"": 2500, ""reg_alpha"": 0.3, ""reg_lambda"": 30.0, ""subsample"": 0.85}",GPU,21.85087989992462,0.7176822967404412,0.5647693745295207,0.17779525427934217
fold_state_stratified,G2_base_agro,XGBoostLarge,xgboost,1,1750,0,0,110,28,0.5210769842511999,"{""colsample_bytree"": 0.65, ""learning_rate"": 0.012, ""max_depth"": 3, ""min_child_weight"": 5.0, ""n_estimators"": 2500, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 0.85}",GPU,25.55881020007655,0.5963840119819481,0.393546380996704,0.5250232898186347
fold_state_stratified,G2_base_agro,XGBoostLarge,xgboost,2,1750,0,0,110,28,0.510872683767121,"{""colsample_bytree"": 0.65, ""learning_rate"": 0.012, ""max_depth"": 3, ""min_child_weight"": 5.0, ""n_estimators"": 2500, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 0.85}",GPU,25.3445025999099,0.5560951455864178,0.43330457108361375,0.5218522537337287
fold_state_stratified,G2_base_agro,XGBoostLarge,xgboost,3,1750,0,0,110,28,0.6119770130344804,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 8.0, ""n_estimators"": 2500, ""reg_alpha"": 0.3, ""reg_lambda"": 30.0, ""subsample"": 0.85}",GPU,26.760905899805948,0.43940352761154305,0.346331810270037,0.728078120218594
fold_state_stratified,G2_base_agro,XGBoostLarge,xgboost,4,1750,0,0,111,27,0.5069028360853612,"{""colsample_bytree"": 0.65, ""learning_rate"": 0.012, ""max_depth"": 3, ""min_child_weight"": 5.0, ""n_estimators"": 2500, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 0.85}",GPU,26.12649459997192,0.5832369232370932,0.3934052050555194,0.5426091073884491
fold_state_stratified,G2_base_agro,XGBoostLarge,xgboost,5,1750,0,0,111,27,0.5402607978917219,"{""colsample_bytree"": 0.6, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 8.0, ""n_estimators"": 2500, ""reg_alpha"": 0.3, ""reg_lambda"": 30.0, ""subsample"": 0.85}",GPU,26.166492499876767,0.4949909201841852,0.3810941618460196,0.6536142117661867
fold_municipality_grouped,G2_base_agro,XGBoostLarge,xgboost,1,1750,0,0,105,33,0.8295328693630997,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.02, ""max_depth"": 2, ""min_child_weight"": 3.0, ""n_estimators"": 1500, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""subsample"": 0.85}",GPU,22.393342500086874,0.48485371818267947,0.3765026078079686,-0.6569936985808078
fold_municipality_grouped,G2_base_agro,XGBoostLarge,xgboost,2,1750,0,0,122,16,0.757224464580949,"{""colsample_bytree"": 0.65, ""learning_rate"": 0.012, ""max_depth"": 3, ""min_child_weight"": 5.0, ""n_estimators"": 2500, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 0.85}",GPU,26.648685100022703,1.1042017304530294,1.0019828796386718,-5.907079755545008
fold_municipality_grouped,G2_base_agro,XGBoostLarge,xgboost,3,1750,0,0,128,10,0.786980275525735,"{""colsample_bytree"": 0.65, ""learning_rate"": 0.012, ""max_depth"": 3, ""min_child_weight"": 5.0, ""n_estimators"": 2500, ""reg_alpha"": 0.1, ""reg_lambda"": 20.0, ""subsample"": 0.85}",GPU,26.968440299853683,0.5424856509279178,0.469944354057312,-8.205501625408562
