cvegeo,siap_exact_2025_yield,siap_exact_2025_reported_yield,siap_exact_2025_harvested_ha,siap_exact_2025_production_t,siap_exact_2025_damage_rate,siap_exact_2025_rows,siap_cycle_allmode_2025_yield,siap_cycle_allmode_2025_reported_yield,siap_cycle_allmode_2025_harvested_ha,siap_cycle_allmode_2025_production_t,siap_cycle_allmode_2025_damage_rate,siap_cycle_allmode_2025_rows,siap_temporal_allcycle_2025_yield,siap_temporal_allcycle_2025_reported_yield,siap_temporal_allcycle_2025_harvested_ha,siap_temporal_allcycle_2025_production_t,siap_temporal_allcycle_2025_damage_rate,siap_temporal_allcycle_2025_rows,siap_allgrain_2025_yield,siap_allgrain_2025_reported_yield,siap_allgrain_2025_harvested_ha,siap_allgrain_2025_production_t,siap_allgrain_2025_damage_rate,siap_allgrain_2025_rows,siap_exact_hist_mean,siap_exact_hist_std,siap_exact_hist_trend,siap_exact_hist_years,siap_allgrain_hist_mean,siap_allgrain_hist_std,siap_allgrain_hist_trend,siap_allgrain_hist_years,siap_prior_yield,siap_prior_source,siap_exact_reported_minus_recomputed
21023,,,,,,,,,,,,,,,,,,,,,,,,,3.787712396680124,1.491745419447767,0.46884381040740786,9,3.787712396680124,1.491745419447767,0.46884381040740786,9,3.787712396680124,exact_historical_mean,
21044,3.3400000000000003,3.34,13870.0,46325.8,0.0,1.0,3.3400000000000003,3.34,13870.0,46325.8,0.0,1.0,3.3400000000000003,3.34,13870.0,46325.8,0.0,1.0,3.3400000000000003,3.34,13870.0,46325.8,0.0,1.0,3.2121934248737025,0.8108658958948056,0.24505813188706205,10,3.2121934248737025,0.8108658958948056,0.24505813188706205,10,3.3400000000000003,exact_2025,-4.440892098500626e-16
21045,4.35,4.35,10.0,43.5,0.0,1.0,4.35,4.35,10.0,43.5,0.0,1.0,4.35,4.35,10.0,43.5,0.0,1.0,4.35,4.35,10.0,43.5,0.0,1.0,3.2531327430455974,0.7209706687929847,0.15761035143520016,10,3.2531327430455974,0.7209706687929847,0.15761035143520016,10,4.35,exact_2025,0.0
21053,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,3.22,3.22,7300.0,23506.0,0.0,1.0,2.780999890506274,0.37745062133259083,0.12212118976918164,10,2.780999890506274,0.37745062133259083,0.12212118976918164,10,3.22,exact_2025,0.0
21054,1.8461538461538463,1.85,650.0,1200.0,0.0,1.0,1.8461538461538463,1.85,650.0,1200.0,0.0,1.0,1.8461538461538463,1.85,650.0,1200.0,0.0,1.0,1.8461538461538463,1.85,650.0,1200.0,0.0,1.0,2.2747962684788456,0.0855732863964254,-0.008750891581926422,10,2.2747962684788456,0.0855732863964254,-0.008750891581926422,10,1.8461538461538463,exact_2025,0.0038461538461538325
21063,,,,,,,,,,,,,,,,,,,,,,,,,2.9625,0.4036319486859285,0.2591428571427922,4,2.9625,0.4036319486859285,0.2591428571427922,4,2.9625,exact_historical_mean,
21067,,,,,,,,,,,,,,,,,,,,,,,,,1.2915625000000002,0.6473056386621007,-0.13989348370924934,8,1.2915625000000002,0.6473056386621007,-0.13989348370924934,8,1.2915625000000002,exact_historical_mean,
21083,2.92,2.92,698.0,2038.16,0.0,1.0,2.92,2.92,698.0,2038.16,0.0,1.0,2.92,2.92,698.0,2038.16,0.0,1.0,2.92,2.92,698.0,2038.16,0.0,1.0,2.539031216042955,0.2520206399888022,0.07920676308907179,10,2.539031216042955,0.2520206399888022,0.07920676308907179,10,2.92,exact_2025,0.0
21094,3.65,3.65,856.0,3124.4,0.0,1.0,3.65,3.65,856.0,3124.4,0.0,1.0,3.65,3.65,856.0,3124.4,0.0,1.0,3.65,3.65,856.0,3124.4,0.0,1.0,2.9946231884057974,0.5458105682684447,0.1635230566534857,10,2.9946231884057974,0.5458105682684447,0.1635230566534857,10,3.65,exact_2025,0.0
21096,4.34,4.34,417.0,1809.78,0.0,1.0,4.34,4.34,417.0,1809.78,0.0,1.0,4.34,4.34,417.0,1809.78,0.0,1.0,4.34,4.34,417.0,1809.78,0.0,1.0,3.3034973948156834,0.9210856123003893,0.26397080219940183,10,3.3034973948156834,0.9210856123003893,0.26397080219940183,10,4.34,exact_2025,0.0
21099,,,,,,,,,,,,,,,,,,,,,,,,,3.0028453689167973,0.695296197893596,0.23893445839873617,7,3.0028453689167973,0.695296197893596,0.23893445839873617,7,3.0028453689167973,exact_historical_mean,
21103,3.111111111111111,3.11,9.0,28.0,0.0,1.0,3.111111111111111,3.11,9.0,28.0,0.0,1.0,3.111111111111111,3.11,9.0,28.0,0.0,1.0,3.111111111111111,3.11,9.0,28.0,0.0,1.0,1.983923625562829,0.3634681807745067,0.09657438888379086,8,1.983923625562829,0.3634681807745067,0.09657438888379086,8,3.111111111111111,exact_2025,-0.0011111111111112848
21104,3.4825581395348837,3.4800000000000004,1720.0,5990.0,0.0,1.0,3.4825581395348837,3.4800000000000004,1720.0,5990.0,0.0,1.0,3.4825581395348837,3.4800000000000004,1720.0,5990.0,0.0,1.0,3.4825581395348837,3.4800000000000004,1720.0,5990.0,0.0,1.0,3.103716049382716,0.7298358244083729,0.2058698092031349,10,3.103716049382716,0.7298358244083729,0.2058698092031349,10,3.4825581395348837,exact_2025,-0.0025581395348832636
21105,3.5599999999999996,3.5599999999999996,1640.0,5838.4,0.0,1.0,3.5599999999999996,3.5599999999999996,1640.0,5838.4,0.0,1.0,3.5599999999999996,3.5599999999999996,1640.0,5838.4,0.0,1.0,3.5599999999999996,3.5599999999999996,1640.0,5838.4,0.0,1.0,3.1572941176470586,0.6225450720887662,0.20461319073083065,10,3.1572941176470586,0.6225450720887662,0.20461319073083065,10,3.5599999999999996,exact_2025,0.0
21108,3.65,3.65,630.0,2299.5,0.0,1.0,3.65,3.65,630.0,2299.5,0.0,1.0,3.65,3.65,630.0,2299.5,0.0,1.0,3.65,3.65,630.0,2299.5,0.0,1.0,3.0398888888888886,0.601725389562751,0.19323232323231743,10,3.0398888888888886,0.601725389562751,0.19323232323231743,10,3.65,exact_2025,0.0
21110,1.4500000000000002,1.45,36.0,52.2,0.0,1.0,1.4500000000000002,1.45,36.0,52.2,0.0,1.0,1.4500000000000002,1.45,36.0,52.2,0.0,1.0,1.4500000000000002,1.45,36.0,52.2,0.0,1.0,1.281,0.27219294627157403,0.01690909090908957,10,1.281,0.27219294627157403,0.01690909090908957,10,1.4500000000000002,exact_2025,-2.220446049250313e-16
21117,3.7600000000000002,3.76,18.0,67.68,0.0,1.0,3.7600000000000002,3.76,18.0,67.68,0.0,1.0,3.7600000000000002,3.76,18.0,67.68,0.0,1.0,3.7600000000000002,3.76,18.0,67.68,0.0,1.0,2.9988888888888887,0.5888867924490986,0.1860588235293945,9,2.9988888888888887,0.5888867924490986,0.1860588235293945,9,3.7600000000000002,exact_2025,-4.440892098500626e-16
21128,3.4499999999999997,3.45,418.0,1442.1,0.0,1.0,3.4499999999999997,3.45,418.0,1442.1,0.0,1.0,3.4499999999999997,3.45,418.0,1442.1,0.0,1.0,3.4499999999999997,3.45,418.0,1442.1,0.0,1.0,3.0680531057373157,0.6794695651246885,0.20713530755635234,10,3.0680531057373157,0.6794695651246885,0.20713530755635234,10,3.4499999999999997,exact_2025,4.440892098500626e-16
21130,4.51,4.51,670.0,3021.7,0.0,1.0,4.51,4.51,670.0,3021.7,0.0,1.0,4.51,4.51,670.0,3021.7,0.0,1.0,4.51,4.51,670.0,3021.7,0.0,1.0,3.5533742573889797,0.9444864080948837,0.2499321332289151,10,3.5533742573889797,0.9444864080948837,0.2499321332289151,10,4.51,exact_2025,0.0
21137,,,,,,,,,,,,,,,,,,,,,,,,,3.278571428571429,0.6580800770081875,0.15464285714284348,7,3.278571428571429,0.6580800770081875,0.15464285714284348,7,3.278571428571429,exact_historical_mean,
21142,4.51,4.51,150.0,676.5,0.0,1.0,4.51,4.51,150.0,676.5,0.0,1.0,4.51,4.51,150.0,676.5,0.0,1.0,4.51,4.51,150.0,676.5,0.0,1.0,3.6262509601536244,1.0053640233017052,0.23292383508634068,10,3.6262509601536244,1.0053640233017052,0.23292383508634068,10,4.51,exact_2025,0.0
21152,4.09,4.09,135.0,552.15,0.0,1.0,4.09,4.09,135.0,552.15,0.0,1.0,4.09,4.09,135.0,552.15,0.0,1.0,4.09,4.09,135.0,552.15,0.0,1.0,3.454160303007278,0.975520483345015,0.1856688347688433,10,3.454160303007278,0.975520483345015,0.1856688347688433,10,4.09,exact_2025,0.0
21154,0.8466666666666667,0.85,3.0,2.54,0.0,1.0,0.8466666666666667,0.85,3.0,2.54,0.0,1.0,0.8466666666666667,0.85,3.0,2.54,0.0,1.0,0.8466666666666667,0.85,3.0,2.54,0.0,1.0,0.8606176470588235,0.082878506778375,-0.01796358543417431,8,0.8606176470588235,0.082878506778375,-0.01796358543417431,8,0.8466666666666667,exact_2025,0.0033333333333332993
21170,3.76,3.76,1270.0,4775.2,0.0,1.0,3.76,3.76,1270.0,4775.2,0.0,1.0,3.76,3.76,1270.0,4775.2,0.0,1.0,3.76,3.76,1270.0,4775.2,0.0,1.0,3.0464363256784965,0.5838933624589283,0.19551957993293498,10,3.0464363256784965,0.5838933624589283,0.19551957993293498,10,3.76,exact_2025,0.0
21177,,,,,,,,,,,,,,,,,,,,,,,,,0.86,0.0,,1,0.86,0.0,,1,0.86,exact_historical_mean,
21179,4.335,4.34,2.0,8.67,0.0,1.0,4.335,4.34,2.0,8.67,0.0,1.0,4.335,4.34,2.0,8.67,0.0,1.0,4.335,4.34,2.0,8.67,0.0,1.0,3.3689999999999998,0.8718996501891718,0.1306060606060627,10,3.3689999999999998,0.8718996501891718,0.1306060606060627,10,4.335,exact_2025,0.004999999999999893
21186,2.0700000000000003,2.07,360.0,745.2,0.0,1.0,2.0700000000000003,2.07,360.0,745.2,0.0,1.0,2.0700000000000003,2.07,360.0,745.2,0.0,1.0,2.0700000000000003,2.07,360.0,745.2,0.0,1.0,2.339001725288986,0.13642099088614545,-0.003212523593568908,10,2.339001725288986,0.13642099088614545,-0.003212523593568908,10,2.0700000000000003,exact_2025,-4.440892098500626e-16
21195,2.9166666666666665,2.92,12.0,35.0,0.0,1.0,2.9166666666666665,2.92,12.0,35.0,0.0,1.0,2.9166666666666665,2.92,12.0,35.0,0.0,1.0,2.9166666666666665,2.92,12.0,35.0,0.0,1.0,2.3549999999999995,0.250349755342401,0.005999999999984603,4,2.3549999999999995,0.250349755342401,0.005999999999984603,4,2.9166666666666665,exact_2025,0.0033333333333334103
21199,2.28,2.28,720.0,1641.6,0.0,1.0,2.28,2.28,720.0,1641.6,0.0,1.0,2.28,2.28,720.0,1641.6,0.0,1.0,2.28,2.28,720.0,1641.6,0.0,1.0,2.2816045160099763,0.10520086718717,-0.01625527512655844,10,2.2816045160099763,0.10520086718717,-0.01625527512655844,10,2.28,exact_2025,0.0
21208,3.02,3.02,1390.0,4197.8,0.0,1.0,3.02,3.02,1390.0,4197.8,0.0,1.0,3.02,3.02,1390.0,4197.8,0.0,1.0,3.02,3.02,1390.0,4197.8,0.0,1.0,2.617971098265896,0.32182526135664347,0.10849010334559046,10,2.617971098265896,0.32182526135664347,0.10849010334559046,10,3.02,exact_2025,0.0
21211,2.14,2.14,12.5,26.75,0.0,1.0,2.14,2.14,12.5,26.75,0.0,1.0,2.14,2.14,12.5,26.75,0.0,1.0,2.14,2.14,12.5,26.75,0.0,1.0,2.449544820182501,0.28896959848033144,-0.05893813583404602,9,2.449544820182501,0.28896959848033144,-0.05893813583404602,9,2.14,exact_2025,0.0
21212,2.15,2.15,1185.0,2547.75,0.0,1.0,2.15,2.15,1185.0,2547.75,0.0,1.0,2.15,2.15,1185.0,2547.75,0.0,1.0,2.15,2.15,1185.0,2547.75,0.0,1.0,2.3272305749862126,0.09405839541867797,-0.013513585921619688,10,2.3272305749862126,0.09405839541867797,-0.013513585921619688,10,2.15,exact_2025,0.0
