protocol,outer_fold,stage,candidate,level1_fold,candidate_index,mean_test_rmse,std_test_rmse,rank_test_score,params_json
fold_state_stratified,1,level1_crossfit,B04_C0_Ridge,2.0,2,0.570408494336216,0.005359680775331721,3,"{""model__alpha"": 10.0}"
fold_state_stratified,1,level1_crossfit,B04_C0_Ridge,2.0,3,0.5468550136516038,0.013935618348176915,2,"{""model__alpha"": 100.0}"
fold_state_stratified,1,level1_crossfit,B04_C0_Ridge,2.0,4,0.5139980007453344,0.0462772730970184,1,"{""model__alpha"": 1000.0}"
fold_state_stratified,1,level1_crossfit,B04_C0_Ridge,2.0,5,0.6721960803513665,0.05937124395231602,6,"{""model__alpha"": 10000.0}"
fold_state_stratified,1,level1_crossfit,B04_C0_Ridge,3.0,0,0.6164245895549942,0.03217759675366988,5,"{""model__alpha"": 0.1}"
fold_state_stratified,1,level1_crossfit,B04_C0_Ridge,3.0,1,0.6155109783156609,0.031691854059585134,4,"{""model__alpha"": 1.0}"
fold_state_stratified,1,level1_crossfit,B04_C0_Ridge,3.0,2,0.6072353449165184,0.027500623575330174,3,"{""model__alpha"": 10.0}"
fold_state_stratified,1,level1_crossfit,B04_C0_Ridge,3.0,3,0.5667385885430758,0.014721058580217494,2,"{""model__alpha"": 100.0}"
fold_state_stratified,1,level1_crossfit,B04_C0_Ridge,3.0,4,0.5517093773407786,0.03846531876628856,1,"{""model__alpha"": 1000.0}"
fold_state_stratified,1,level1_crossfit,B04_C0_Ridge,3.0,5,0.7022046429976271,0.04722868979789985,6,"{""model__alpha"": 10000.0}"
fold_state_stratified,1,outer_refit,B04_C0_Ridge,,0,0.6978933948754209,0.06951484709282695,6,"{""model__alpha"": 0.1}"
fold_state_stratified,1,outer_refit,B04_C0_Ridge,,1,0.6964323090633271,0.06912574575730386,5,"{""model__alpha"": 1.0}"
fold_state_stratified,1,outer_refit,B04_C0_Ridge,,2,0.6831631762184692,0.06606577499866634,4,"{""model__alpha"": 10.0}"
fold_state_stratified,1,outer_refit,B04_C0_Ridge,,3,0.6151468313429225,0.07213863820567411,2,"{""model__alpha"": 100.0}"
fold_state_stratified,1,outer_refit,B04_C0_Ridge,,4,0.5499894927557946,0.12684999612319328,1,"{""model__alpha"": 1000.0}"
fold_state_stratified,1,outer_refit,B04_C0_Ridge,,5,0.6389555206142806,0.12802832617601356,3,"{""model__alpha"": 10000.0}"
fold_state_stratified,1,level1_crossfit,B05_C3_PLS,1.0,0,0.5359952668853497,0.017031152292683926,1,"{""model__n_components"": 2}"
fold_state_stratified,1,level1_crossfit,B05_C3_PLS,1.0,1,0.6001218696812685,0.03977458605190892,2,"{""model__n_components"": 4}"
fold_state_stratified,1,level1_crossfit,B05_C3_PLS,1.0,2,0.6624510369073213,0.056924757401798975,5,"{""model__n_components"": 8}"
fold_state_stratified,1,level1_crossfit,B05_C3_PLS,1.0,3,0.6527549141239511,0.05820534375300146,3,"{""model__n_components"": 12}"
fold_state_stratified,1,level1_crossfit,B05_C3_PLS,1.0,4,0.6542491046801058,0.05881787744044803,4,"{""model__n_components"": 20}"
fold_state_stratified,1,level1_crossfit,B05_C3_PLS,2.0,0,0.5856738765515432,0.04243682113224173,1,"{""model__n_components"": 2}"
fold_state_stratified,1,level1_crossfit,B05_C3_PLS,2.0,1,0.6297455335509505,0.0721175130324973,5,"{""model__n_components"": 4}"
fold_state_stratified,1,level1_crossfit,B05_C3_PLS,2.0,2,0.6115502588483879,0.058711976206030136,2,"{""model__n_components"": 8}"
fold_state_stratified,1,level1_crossfit,B05_C3_PLS,2.0,3,0.6160250431442109,0.06256667464632143,4,"{""model__n_components"": 12}"
fold_state_stratified,1,level1_crossfit,B05_C3_PLS,2.0,4,0.6160113387378872,0.062119799651061125,3,"{""model__n_components"": 20}"
fold_state_stratified,1,level1_crossfit,B05_C3_PLS,3.0,0,0.593238840335015,0.09017196946207706,1,"{""model__n_components"": 2}"
fold_state_stratified,1,level1_crossfit,B05_C3_PLS,3.0,1,0.6259554797761012,0.053026460548181276,2,"{""model__n_components"": 4}"
fold_state_stratified,1,level1_crossfit,B05_C3_PLS,3.0,2,0.6321729241528636,0.032881980354488416,3,"{""model__n_components"": 8}"
fold_state_stratified,1,level1_crossfit,B05_C3_PLS,3.0,3,0.6430029873577244,0.030768124144709086,4,"{""model__n_components"": 12}"
fold_state_stratified,1,level1_crossfit,B05_C3_PLS,3.0,4,0.6460643541872013,0.02811609611372634,5,"{""model__n_components"": 20}"
fold_state_stratified,1,outer_refit,B05_C3_PLS,,0,0.5149338700223635,0.03518285616809306,1,"{""model__n_components"": 2}"
fold_state_stratified,1,outer_refit,B05_C3_PLS,,1,0.5455897081934934,0.03157704971873102,2,"{""model__n_components"": 4}"
fold_state_stratified,1,outer_refit,B05_C3_PLS,,2,0.5617645252581114,0.026042825996731196,3,"{""model__n_components"": 8}"
fold_state_stratified,1,outer_refit,B05_C3_PLS,,3,0.6058402603094338,0.01407100989276475,4,"{""model__n_components"": 12}"
fold_state_stratified,1,outer_refit,B05_C3_PLS,,4,0.6202763793581062,0.031154356112256237,5,"{""model__n_components"": 20}"
fold_state_stratified,1,level1_crossfit,B06_C2_PLS,1.0,0,0.6012231477807906,0.012425858802076084,1,"{""model__n_components"": 2}"
fold_state_stratified,1,level1_crossfit,B06_C2_PLS,1.0,1,0.623589533968493,0.05272800461968408,2,"{""model__n_components"": 4}"
fold_state_stratified,1,level1_crossfit,B06_C2_PLS,1.0,2,0.7106499928499854,0.013858143756568353,3,"{""model__n_components"": 8}"
fold_state_stratified,1,level1_crossfit,B06_C2_PLS,1.0,3,0.7218922607070376,0.005986037881101747,4,"{""model__n_components"": 12}"
fold_state_stratified,1,level1_crossfit,B06_C2_PLS,1.0,4,0.7225075853173426,0.007004023584472829,5,"{""model__n_components"": 20}"
fold_state_stratified,1,level1_crossfit,B06_C2_PLS,2.0,0,0.5717719723876363,0.0006511673691839137,1,"{""model__n_components"": 2}"
fold_state_stratified,1,level1_crossfit,B06_C2_PLS,2.0,1,0.6624888202722525,0.03528883897993984,5,"{""model__n_components"": 4}"
fold_state_stratified,1,level1_crossfit,B06_C2_PLS,2.0,2,0.6451120024867193,0.03843890666482219,4,"{""model__n_components"": 8}"
fold_state_stratified,1,level1_crossfit,B06_C2_PLS,2.0,3,0.6405366468151972,0.04266095021746685,3,"{""model__n_components"": 12}"
