family,split_id,method,rmse,mae,r2
state_random,state_random_03,LocalE13_w0p30,0.4720057949562837,0.3608238371562768,0.6999052221441017
state_random,state_random_03,LocalE123_w0p10,0.4757948620193113,0.35830002962943414,0.6950678101826833
state_random,state_random_03,LocalE123_w0p20,0.4733702660687445,0.35736208648599543,0.6981676904983185
state_random,state_random_03,LocalE123_w0p30,0.47200453394820036,0.35900430109526943,0.6999068256050727
state_random,state_random_03,ConvexStack,0.47603742426211887,0.35438244196629776,0.6947568194780038
state_random,state_random_03,RidgeStack,0.46373505733833603,0.3459328017993304,0.7103299232151722
state_random,state_random_03,ElasticNetStack,0.4715701484592477,0.3469562730549206,0.700458922576987
state_random,state_random_03,HuberStack,0.462876103768348,0.3378604613846716,0.7114020125924183
state_random,state_random_03,ExtraTreesStack,0.4680016628359645,0.3364170485871306,0.7049751697939389
state_random,state_random_03,HistGBStack,0.5144022300439108,0.4023448024400939,0.6435739299097848
state_random,state_random_03,MoE_Support,0.46937081566469985,0.3625300848529352,0.7032464368703187
state_random,state_random_04,PLS_C0,0.48632869238116466,0.35796680884855625,0.6998833913165572
state_random,state_random_04,Ridge_C3,0.45340903934380583,0.3418002939207869,0.739138136146896
state_random,state_random_04,CatBoost_C1,0.4424733050929443,0.35839490763267584,0.7515697974795844
state_random,state_random_04,ExtraTrees_C1,0.4493110709180999,0.35773932926829477,0.7438322321782719
state_random,state_random_04,Local04D,0.4647879622221426,0.3567432938166456,0.7258804641875465
state_random,state_random_04,Graph04D,0.4502752302848954,0.3392705687119358,0.7427316514523661
state_random,state_random_04,E13_PLS_CatBoost,0.44016232275976935,0.3367390095452569,0.7541580600028323
state_random,state_random_04,E123_PLS_Ridge_CatBoost,0.44103044507942113,0.337433630236595,0.7531873665709562
state_random,state_random_04,LocalE13_w0p10,0.45692658530062774,0.349207446898619,0.735074904677206
state_random,state_random_04,LocalE13_w0p20,0.45016768789168593,0.3438288845002614,0.7428545271872812
state_random,state_random_04,LocalE13_w0p30,0.4445615575242377,0.3384503221019043,0.7492193317177711
state_random,state_random_04,LocalE123_w0p10,0.4564877727983791,0.34847467731397225,0.7355835055151483
state_random,state_random_04,LocalE123_w0p20,0.4493944616402756,0.34236334533096796,0.7437371354895811
state_random,state_random_04,LocalE123_w0p30,0.4435659321253129,0.336252013347964,0.7503413541108446
state_random,state_random_04,ConvexStack,0.44839328457954125,0.33527017536554626,0.7448776867493472
state_random,state_random_04,RidgeStack,0.46925283878901275,0.35725396499635576,0.7205886382642732
state_random,state_random_04,ElasticNetStack,0.4666361630097745,0.3545034506904177,0.723696090792781
state_random,state_random_04,HuberStack,0.474548147279511,0.37221316334085447,0.7142469931105555
state_random,state_random_04,ExtraTreesStack,0.44852166706555957,0.3359873584884606,0.7447315742769272
state_random,state_random_04,HistGBStack,0.5442370336284835,0.44556324992617313,0.6241570343212444
state_random,state_random_04,MoE_Support,0.4314838929201496,0.3245410573036259,0.7637567430308512
state_random,state_random_05,PLS_C0,0.49553732433153924,0.39140761016618636,0.6438946536167287
state_random,state_random_05,Ridge_C3,0.4858598705350111,0.4022982995523138,0.6576677526362913
state_random,state_random_05,CatBoost_C1,0.5235951119425067,0.4287091315401556,0.6024269678742219
state_random,state_random_05,ExtraTrees_C1,0.49734934336476083,0.4070880081300814,0.6412855688736788
state_random,state_random_05,Local04D,0.44322719533090316,0.35073262394261207,0.7151091175023776
state_random,state_random_05,Graph04D,0.4292511081855686,0.2990074239181469,0.7327925262964357
state_random,state_random_05,E13_PLS_CatBoost,0.48495615949208154,0.39769210911306474,0.6589400606977136
state_random,state_random_05,E123_PLS_Ridge_CatBoost,0.4809609156692065,0.3969414314458269,0.6645364624399293
state_random,state_random_05,LocalE13_w0p10,0.44471299405735343,0.35256472508170156,0.7131958775294571
state_random,state_random_05,LocalE13_w0p20,0.4468293674520864,0.35573844956392303,0.7104596007326374
state_random,state_random_05,LocalE13_w0p30,0.44956741016606866,0.3589121740461445,0.7069002871119185
state_random,state_random_05,LocalE123_w0p10,0.44439865376532356,0.352163744795024,0.7136011826616343
state_random,state_random_05,LocalE123_w0p20,0.44617694545160413,0.3549364889905677,0.7113045076730018
state_random,state_random_05,LocalE123_w0p30,0.44855485309287885,0.35861860422153935,0.7082190925364797
state_random,state_random_05,ConvexStack,0.42461010638696006,0.32657917895223093,0.7385393089804165
state_random,state_random_05,RidgeStack,0.44035742870725175,0.34911713386680626,0.718786344847493
state_random,state_random_05,ElasticNetStack,0.44071760612474165,0.34892467425516666,0.7183261358274831
state_random,state_random_05,HuberStack,0.42382803080350506,0.32623279814570527,0.7395015739147839
state_random,state_random_05,ExtraTreesStack,0.4344879398008515,0.30067153503096505,0.7262329329832815
state_random,state_random_05,HistGBStack,0.4916499688228819,0.362305978136452,0.6494598381227723
state_random,state_random_05,MoE_Support,0.45096859487440993,0.368879267820449,0.7050704087512947
state_random,state_random_06,PLS_C0,0.4746850986568653,0.3581559221471936,0.6769338402290814
state_random,state_random_06,Ridge_C3,0.4469337104254627,0.3494967009176689,0.7136042966043364
state_random,state_random_06,CatBoost_C1,0.4271664885036117,0.3247462650419558,0.7383777829886243
state_random,state_random_06,ExtraTrees_C1,0.38456519184647475,0.2759428963414634,0.7879588177380453
state_random,state_random_06,Local04D,0.3943754904278395,0.28641111274923164,0.7770024428347924
state_random,state_random_06,Graph04D,0.3901559256144282,0.2684987371906554,0.7817487765877491
state_random,state_random_06,E13_PLS_CatBoost,0.4346414099809709,0.33517038831263646,0.7291414968847779
state_random,state_random_06,E123_PLS_Ridge_CatBoost,0.43294304314310983,0.3369608304023292,0.7312541273317024
state_random,state_random_06,LocalE13_w0p10,0.39376306112677006,0.2847966306824617,0.777694494956702
state_random,state_random_06,LocalE13_w0p20,0.3942280228975512,0.2858030663282425,0.77716918114152
state_random,state_random_06,LocalE13_w0p30,0.3957665784772154,0.28882550408407454,0.7754265013892467
state_random,state_random_06,LocalE123_w0p10,0.39414570656125625,0.2848040748900561,0.7772622273003525
state_random,state_random_06,LocalE123_w0p20,0.3948657642640544,0.28696272549095403,0.776447652651275
state_random,state_random_06,LocalE123_w0p30,0.3965304891325387,0.29119539378408166,0.77455871888756
state_random,state_random_06,ConvexStack,0.3904011500190669,0.27583752527241684,0.7814743358197598
state_random,state_random_06,RidgeStack,0.39822806748936457,0.2829616453940655,0.7726243232049708
state_random,state_random_06,ElasticNetStack,0.39649964758462575,0.2814132928731659,0.7745937864945572
state_random,state_random_06,HuberStack,0.4188394844097931,0.30703834602249347,0.7484782738411717
state_random,state_random_06,ExtraTreesStack,0.3908578301881872,0.2867967112856613,0.7809627865749404
state_random,state_random_06,HistGBStack,0.44065575937694357,0.33098769355093666,0.7215936262067435
state_random,state_random_06,MoE_Support,0.40021788634888605,0.29462694206710066,0.77034639863232
state_random,state_random_07,PLS_C0,0.5201395583586813,0.42225031083475734,0.6636805113118263
state_random,state_random_07,Ridge_C3,0.5344911838737844,0.4388947931290338,0.6448650970261738
state_random,state_random_07,CatBoost_C1,0.5294497467806152,0.4252970260110086,0.6515329211230754
state_random,state_random_07,ExtraTrees_C1,0.5188637920289184,0.39613791666666714,0.66532829556742
state_random,state_random_07,Local04D,0.4925627495021203,0.37844571558285894,0.6983971822911217
state_random,state_random_07,Graph04D,0.4957741932693241,0.35970074000012786,0.6944515408547072
state_random,state_random_07,E13_PLS_CatBoost,0.5117095595900933,0.410754315092073,0.6744937545758222
state_random,state_random_07,E123_PLS_Ridge_CatBoost,0.5153977334166265,0.4149210577299636,0.6697846378082286
state_random,state_random_07,LocalE13_w0p10,0.4908774622967796,0.3797814461169533,0.7004574997879475
state_random,state_random_07,LocalE13_w0p20,0.4899988905555422,0.38111717665104755,0.7015287816695832
state_random,state_random_07,LocalE13_w0p30,0.48993137423653166,0.38245290718514185,0.7016110279360286
state_random,state_random_07,LocalE123_w0p10,0.4910276247198622,0.3801678247090335,0.7002742079852617
state_random,state_random_07,LocalE123_w0p20,0.49035213749481893,0.38188993383520803,0.7010982825366396
state_random,state_random_07,LocalE123_w0p30,0.49053983907549464,0.3840337741771195,0.7008694059452556
state_random,state_random_07,ConvexStack,0.4862007773423046,0.3630515918395224,0.7061379102782785
state_random,state_random_07,RidgeStack,0.5046410830448405,0.3699740318134511,0.6834243754364211
state_random,state_random_07,ElasticNetStack,0.4974118020273911,0.3655727761641099,0.6924296718980363
state_random,state_random_07,HuberStack,0.5134932979379069,0.3745232188677646,0.6722204730527898
state_random,state_random_07,ExtraTreesStack,0.5077949850375145,0.37929050254551655,0.6794549461739863
state_random,state_random_07,HistGBStack,0.5474481289265968,0.45940409259291753,0.6274382915558105
state_random,state_random_07,MoE_Support,0.4938392206008837,0.3884982077537142,0.696831955827242
state_random,state_random_08,PLS_C0,0.6951781539864137,0.4568324683938571,0.358755920690945
state_random,state_random_08,Ridge_C3,0.6739237634842057,0.46085955002668394,0.3973673226229294
state_random,state_random_08,CatBoost_C1,0.6570291001889494,0.40914451433120985,0.42720351180735205
state_random,state_random_08,ExtraTrees_C1,0.6693468261729487,0.4389931707317072,0.405525057872098
state_random,state_random_08,Local04D,0.6534650801888845,0.41389412115776275,0.4334008666819862
state_random,state_random_08,Graph04D,0.6539938946035762,0.4107674083528124,0.4324834587478271
state_random,state_random_08,E13_PLS_CatBoost,0.6690021988028637,0.4275324975850056,0.40613705627546826
state_random,state_random_08,E123_PLS_Ridge_CatBoost,0.6667561010015047,0.4353189339435406,0.4101180150526843
state_random,state_random_08,LocalE13_w0p10,0.652617140062439,0.413203693612318,0.4348703573802155
state_random,state_random_08,LocalE13_w0p20,0.6523069568048412,0.4129571582680893,0.4354074321364715
state_random,state_random_08,LocalE13_w0p30,0.652535297286218,0.4127987539883131,0.43501209095075377
state_random,state_random_08,LocalE123_w0p10,0.6522438224975907,0.41389322232617753,0.43551671637849665
state_random,state_random_08,LocalE123_w0p20,0.6515916584313398,0.4143362156958085,0.4366449805506871
state_random,state_random_08,LocalE123_w0p30,0.6515102969864487,0.4147792090654395,0.4367856591985575
state_random,state_random_08,ConvexStack,0.6531707088134875,0.41317373479921915,0.4339112321277392
state_random,state_random_08,RidgeStack,0.6606001250511219,0.41289145969897956,0.4209601683164519
state_random,state_random_08,ElasticNetStack,0.6595880971934335,0.403139488069385,0.4227329671515839
state_random,state_random_08,HuberStack,0.6715037990980116,0.4116202324120435,0.401687488591412
state_random,state_random_08,ExtraTreesStack,0.6510449678595766,0.4087212368633881,0.4375899026487676
state_random,state_random_08,HistGBStack,0.6515807525425564,0.42949750160149486,0.43666383848323453
state_random,state_random_08,MoE_Support,0.6623169487783361,0.4224877809243016,0.41794654154839617
fold_state_stratified,fold_state_stratified_fold1,PLS_C0,0.5741129946554542,0.4194609148788307,0.5598354276056267
fold_state_stratified,fold_state_stratified_fold1,Ridge_C3,0.5580625113369487,0.3949483023878792,0.5841027690144591
fold_state_stratified,fold_state_stratified_fold1,CatBoost_C1,0.5301218421214265,0.35664170915487825,0.624705908167444
fold_state_stratified,fold_state_stratified_fold1,ExtraTrees_C1,0.5384647434485001,0.3435176041666667,0.6128004214250711
fold_state_stratified,fold_state_stratified_fold1,Local04D,0.5438519261730222,0.3584429077598888,0.6050140272695474
fold_state_stratified,fold_state_stratified_fold1,Graph04D,0.5167223932513524,0.35285011771520863,0.6434381317318781
fold_state_stratified,fold_state_stratified_fold1,E13_PLS_CatBoost,0.53613270301034,0.360680613374586,0.6161470091346584
fold_state_stratified,fold_state_stratified_fold1,E123_PLS_Ridge_CatBoost,0.5401925128329202,0.36801756724545776,0.6103116238545792
fold_state_stratified,fold_state_stratified_fold1,LocalE13_w0p10,0.5408734832685739,0.3562772516003318,0.6093285168390519
fold_state_stratified,fold_state_stratified_fold1,LocalE13_w0p20,0.5383735017791553,0.35445021881748673,0.6129316305456689
fold_state_stratified,fold_state_stratified_fold1,LocalE13_w0p30,0.5363586721091738,0.3529510130807423,0.6158233683893988
fold_state_stratified,fold_state_stratified_fold1,LocalE123_w0p10,0.5408043633867096,0.3567753239310894,0.60942836067385
fold_state_stratified,fold_state_stratified_fold1,LocalE123_w0p20,0.5383402409029121,0.35544636347900255,0.6129794554679749
fold_state_stratified,fold_state_stratified_fold1,LocalE123_w0p30,0.5364675984195226,0.3548893192329841,0.6156673116519222
fold_state_stratified,fold_state_stratified_fold1,ConvexStack,0.5293955594795239,0.3523228868144961,0.6257335318141525
fold_state_stratified,fold_state_stratified_fold1,RidgeStack,0.5368553952637349,0.36554686098429917,0.615111464948273
fold_state_stratified,fold_state_stratified_fold1,ElasticNetStack,0.536729262656985,0.3651716808237252,0.615292300576173
fold_state_stratified,fold_state_stratified_fold1,HuberStack,0.5273870032691194,0.3608985106046,0.6285681199134379
fold_state_stratified,fold_state_stratified_fold1,ExtraTreesStack,0.5245457163490571,0.3649368183113045,0.6325595027585369
fold_state_stratified,fold_state_stratified_fold1,HistGBStack,0.5775171745893007,0.43551829192500263,0.5546000757900149
fold_state_stratified,fold_state_stratified_fold1,MoE_Support,0.5286043167673475,0.35089827344320945,0.6268514645419659
fold_state_stratified,fold_state_stratified_fold2,PLS_C0,0.525710802954993,0.41099982726170126,0.5726755835079321
fold_state_stratified,fold_state_stratified_fold2,Ridge_C3,0.5129053529866897,0.4026679557254523,0.5932398783872053
fold_state_stratified,fold_state_stratified_fold2,CatBoost_C1,0.519689945717047,0.42318461285261766,0.582407649421401
fold_state_stratified,fold_state_stratified_fold2,ExtraTrees_C1,0.4907300752726888,0.39480471726190436,0.6276518024728117
fold_state_stratified,fold_state_stratified_fold2,Local04D,0.4605158550687146,0.3735998370709173,0.6720911943253491
fold_state_stratified,fold_state_stratified_fold2,Graph04D,0.4990402221287075,0.35604542058981753,0.6149341480256063
fold_state_stratified,fold_state_stratified_fold2,E13_PLS_CatBoost,0.5032006277524063,0.3995434603162244,0.60848694005106
fold_state_stratified,fold_state_stratified_fold2,E123_PLS_Ridge_CatBoost,0.501162942817606,0.39982899226857255,0.6116513438103248
fold_state_stratified,fold_state_stratified_fold2,LocalE13_w0p10,0.46022927406736575,0.372228513850113,0.6724991854645122
fold_state_stratified,fold_state_stratified_fold2,LocalE13_w0p20,0.46099879365347796,0.37085719062930905,0.6714030840333209
fold_state_stratified,fold_state_stratified_fold2,LocalE13_w0p30,0.46281914598883145,0.37132493948872136,0.6688028900317764
fold_state_stratified,fold_state_stratified_fold2,LocalE123_w0p10,0.4602828328632028,0.37133238262368645,0.6724229557638653
fold_state_stratified,fold_state_stratified_fold2,LocalE123_w0p20,0.46104452650311145,0.36938148114040587,0.6713378846490438
fold_state_stratified,fold_state_stratified_fold2,LocalE123_w0p30,0.46279602455010194,0.3698260147175362,0.6688359809808848
fold_state_stratified,fold_state_stratified_fold2,ConvexStack,0.46959840507340295,0.36015821879817705,0.6590292446661694
fold_state_stratified,fold_state_stratified_fold2,RidgeStack,0.46893478475632133,0.3566619591791068,0.6599922600266037
fold_state_stratified,fold_state_stratified_fold2,ElasticNetStack,0.46873079221666375,0.3511891319140202,0.6602880109864637
fold_state_stratified,fold_state_stratified_fold2,HuberStack,0.4859995340861808,0.34153532645099915,0.6347959281629798
fold_state_stratified,fold_state_stratified_fold2,ExtraTreesStack,0.5212254315557839,0.3800920461293448,0.5799363512660204
fold_state_stratified,fold_state_stratified_fold2,HistGBStack,0.5558211102584523,0.39653057881265313,0.5223233856644811
fold_state_stratified,fold_state_stratified_fold2,MoE_Support,0.4722445568758425,0.36325619292844796,0.6551757287520503
fold_state_stratified,fold_state_stratified_fold3,PLS_C0,0.4816592762540942,0.37249654655084363,0.6732640413837094
fold_state_stratified,fold_state_stratified_fold3,Ridge_C3,0.46946780429157986,0.3764188382216535,0.6895950033281316
fold_state_stratified,fold_state_stratified_fold3,CatBoost_C1,0.42770496716886636,0.3222623356018577,0.742364524625956
fold_state_stratified,fold_state_stratified_fold3,ExtraTrees_C1,0.3901602004419519,0.2927206250000007,0.785610749077363
fold_state_stratified,fold_state_stratified_fold3,Local04D,0.38026788850653853,0.2756629317408568,0.7963443881159545
fold_state_stratified,fold_state_stratified_fold3,Graph04D,0.35087397830915995,0.2511155876556121,0.8266118561034191
