protocol,fold,rank,operation,left,right,formula,abs_spearman_train,signed_spearman_train,expression_key
fold_state_stratified,5,17,sum,siap_hist__yield_trend_recent,soilgrids__nitrogen__depth_weighted_0_30cm,(siap_hist__yield_trend_recent) + (soilgrids__nitrogen__depth_weighted_0_30cm),0.6540646654999276,0.6540646654999276,sum::siap_hist__yield_trend_recent::soilgrids__nitrogen__depth_weighted_0_30cm
fold_state_stratified,5,18,reverse_safe_ratio,siap_hist__yield_trend_recent,wapor_2025__aeti__season_total,(wapor_2025__aeti__season_total) / (abs(siap_hist__yield_trend_recent) + eps),0.6499675215622639,-0.6499675215622639,reverse_safe_ratio::siap_hist__yield_trend_recent::wapor_2025__aeti__season_total
fold_state_stratified,5,19,reverse_safe_ratio,clim_official_2025__prec__season_sum,soilgrids__nitrogen__depth_weighted_0_30cm,(soilgrids__nitrogen__depth_weighted_0_30cm) / (abs(clim_official_2025__prec__season_sum) + eps),0.6408579690539844,0.6408579690539844,reverse_safe_ratio::clim_official_2025__prec__season_sum::soilgrids__nitrogen__depth_weighted_0_30cm
fold_state_stratified,5,20,safe_ratio,clim_official_2025__prec__season_sum,soilgrids__nitrogen__depth_weighted_0_30cm,(clim_official_2025__prec__season_sum) / (abs(soilgrids__nitrogen__depth_weighted_0_30cm) + eps),0.6408579690539844,-0.6408579690539844,safe_ratio::clim_official_2025__prec__season_sum::soilgrids__nitrogen__depth_weighted_0_30cm
fold_municipality_grouped,1,1,reverse_safe_ratio,clim_official_2025__prec__season_sum,soilgrids__soc__depth_weighted_0_30cm,(soilgrids__soc__depth_weighted_0_30cm) / (abs(clim_official_2025__prec__season_sum) + eps),0.5012625826870797,0.5012625826870797,reverse_safe_ratio::clim_official_2025__prec__season_sum::soilgrids__soc__depth_weighted_0_30cm
fold_municipality_grouped,1,2,safe_ratio,clim_official_2025__prec__season_sum,soilgrids__soc__depth_weighted_0_30cm,(clim_official_2025__prec__season_sum) / (abs(soilgrids__soc__depth_weighted_0_30cm) + eps),0.5012625826870797,-0.5012625826870797,safe_ratio::clim_official_2025__prec__season_sum::soilgrids__soc__depth_weighted_0_30cm
fold_municipality_grouped,1,3,symmetric_change,clim_official_2025__prec__season_sum,soilgrids__soc__depth_weighted_0_30cm,2*((clim_official_2025__prec__season_sum)-(soilgrids__soc__depth_weighted_0_30cm)) / (abs(clim_official_2025__prec__season_sum)+abs(soilgrids__soc__depth_weighted_0_30cm)+eps),0.5012625826870797,-0.5012625826870797,symmetric_change::clim_official_2025__prec__season_sum::soilgrids__soc__depth_weighted_0_30cm
fold_municipality_grouped,1,4,symmetric_change,clim_official_2025__prec__season_sum,siap_hist__yield_trend_recent,2*((clim_official_2025__prec__season_sum)-(siap_hist__yield_trend_recent)) / (abs(clim_official_2025__prec__season_sum)+abs(siap_hist__yield_trend_recent)+eps),0.49167077884225885,-0.49167077884225885,symmetric_change::clim_official_2025__prec__season_sum::siap_hist__yield_trend_recent
fold_municipality_grouped,1,5,symmetric_change,agro_water__2025__precip_minus_aeti_season,siap_hist__yield_trend_recent,2*((agro_water__2025__precip_minus_aeti_season)-(siap_hist__yield_trend_recent)) / (abs(agro_water__2025__precip_minus_aeti_season)+abs(siap_hist__yield_trend_recent)+eps),0.4911115650246847,-0.4911115650246847,symmetric_change::agro_water__2025__precip_minus_aeti_season::siap_hist__yield_trend_recent
fold_municipality_grouped,1,6,reverse_safe_ratio,agro_water__2025__precip_minus_aeti_season,soilgrids__soc__depth_weighted_0_30cm,(soilgrids__soc__depth_weighted_0_30cm) / (abs(agro_water__2025__precip_minus_aeti_season) + eps),0.4762356812862236,0.4762356812862236,reverse_safe_ratio::agro_water__2025__precip_minus_aeti_season::soilgrids__soc__depth_weighted_0_30cm
