protocol,expression_key,operation,left,right,formula,selected_folds,selection_rate,mean_rank,mean_abs_spearman_train,mean_signed_spearman_train,direction_consistency
fold_municipality_grouped,symmetric_change::clim_official_2025__prec__season_sum::siap_hist__yield_mean_recent,symmetric_change,clim_official_2025__prec__season_sum,siap_hist__yield_mean_recent,2*((clim_official_2025__prec__season_sum)-(siap_hist__yield_mean_recent)) / (abs(clim_official_2025__prec__season_sum)+abs(siap_hist__yield_mean_recent)+eps),1,0.2,11.0,0.4753501991761211,-0.4753501991761211,1.0
fold_municipality_grouped,difference::soilgrids__soc__depth_weighted_0_30cm::soilgrids__nitrogen__depth_weighted_0_30cm,difference,soilgrids__soc__depth_weighted_0_30cm,soilgrids__nitrogen__depth_weighted_0_30cm,(soilgrids__soc__depth_weighted_0_30cm) - (soilgrids__nitrogen__depth_weighted_0_30cm),1,0.2,12.0,0.6225635448316215,0.6225635448316215,1.0
fold_municipality_grouped,sum::agro_pheno__y2025_s2_ndvi__auc::emp_symchange__s2_ndvi__season_mean,sum,agro_pheno__y2025_s2_ndvi__auc,emp_symchange__s2_ndvi__season_mean,(agro_pheno__y2025_s2_ndvi__auc) + (emp_symchange__s2_ndvi__season_mean),1,0.2,12.0,0.5336364323198163,0.5336364323198163,1.0
fold_municipality_grouped,reverse_difference::soilgrids__soc__depth_weighted_0_30cm::soilgrids__nitrogen__depth_weighted_0_30cm,reverse_difference,soilgrids__soc__depth_weighted_0_30cm,soilgrids__nitrogen__depth_weighted_0_30cm,(soilgrids__nitrogen__depth_weighted_0_30cm) - (soilgrids__soc__depth_weighted_0_30cm),1,0.2,13.0,0.6225635448316215,-0.6225635448316215,1.0
fold_municipality_grouped,sum::agro_pheno__y2025_s2_ndvi__auc::agro_anomaly__s2_evi__season_mean_delta,sum,agro_pheno__y2025_s2_ndvi__auc,agro_anomaly__s2_evi__season_mean_delta,(agro_pheno__y2025_s2_ndvi__auc) + (agro_anomaly__s2_evi__season_mean_delta),1,0.2,13.0,0.5278771258788283,0.5278771258788283,1.0
fold_municipality_grouped,safe_ratio::siap_hist__yield_trend_recent::agro_water__2025__precip_minus_aeti_season,safe_ratio,siap_hist__yield_trend_recent,agro_water__2025__precip_minus_aeti_season,(siap_hist__yield_trend_recent) / (abs(agro_water__2025__precip_minus_aeti_season) + eps),1,0.2,14.0,0.7104132712200047,0.7104132712200047,1.0
fold_municipality_grouped,sum::soilgrids__soc__depth_weighted_0_30cm::agro_anomaly__s2_ndvi__season_mean_delta,sum,soilgrids__soc__depth_weighted_0_30cm,agro_anomaly__s2_ndvi__season_mean_delta,(soilgrids__soc__depth_weighted_0_30cm) + (agro_anomaly__s2_ndvi__season_mean_delta),1,0.2,14.0,0.6224086095152139,0.6224086095152139,1.0
fold_municipality_grouped,difference::agro_pheno__y2025_s2_ndvi__auc::agro_anomaly__s2_evi__season_mean_delta,difference,agro_pheno__y2025_s2_ndvi__auc,agro_anomaly__s2_evi__season_mean_delta,(agro_pheno__y2025_s2_ndvi__auc) - (agro_anomaly__s2_evi__season_mean_delta),1,0.2,14.0,0.5189824441166845,0.5189824441166845,1.0
fold_municipality_grouped,product::siap_hist__yield_trend_recent::soilgrids__nitrogen__depth_weighted_0_30cm,product,siap_hist__yield_trend_recent,soilgrids__nitrogen__depth_weighted_0_30cm,(siap_hist__yield_trend_recent) * (soilgrids__nitrogen__depth_weighted_0_30cm),1,0.2,15.0,0.7096016488909119,0.7096016488909119,1.0
fold_municipality_grouped,difference::soilgrids__soc__depth_weighted_0_30cm::emp_symchange__s2_ndvi__season_mean,difference,soilgrids__soc__depth_weighted_0_30cm,emp_symchange__s2_ndvi__season_mean,(soilgrids__soc__depth_weighted_0_30cm) - (emp_symchange__s2_ndvi__season_mean),1,0.2,15.0,0.6222067104081703,0.6222067104081703,1.0
fold_municipality_grouped,reverse_difference::agro_pheno__y2025_s2_ndvi__auc::agro_anomaly__s2_evi__season_mean_delta,reverse_difference,agro_pheno__y2025_s2_ndvi__auc,agro_anomaly__s2_evi__season_mean_delta,(agro_anomaly__s2_evi__season_mean_delta) - (agro_pheno__y2025_s2_ndvi__auc),1,0.2,15.0,0.5189824441166845,-0.5189824441166845,1.0
fold_municipality_grouped,difference::clim_official_2025__prec__season_sum::agro_thermal__2025__gdd_proxy_base5p0c,difference,clim_official_2025__prec__season_sum,agro_thermal__2025__gdd_proxy_base5p0c,(clim_official_2025__prec__season_sum) - (agro_thermal__2025__gdd_proxy_base5p0c),1,0.2,15.0,0.4707797340477538,-0.4707797340477538,1.0
fold_municipality_grouped,safe_ratio::siap_hist__yield_trend_recent::agro_thermal__2025__gdd_proxy_base5p0c,safe_ratio,siap_hist__yield_trend_recent,agro_thermal__2025__gdd_proxy_base5p0c,(siap_hist__yield_trend_recent) / (abs(agro_thermal__2025__gdd_proxy_base5p0c) + eps),1,0.2,16.0,0.7078323021236976,0.7078323021236976,1.0
fold_municipality_grouped,reverse_difference::soilgrids__soc__depth_weighted_0_30cm::emp_symchange__s2_ndvi__season_mean,reverse_difference,soilgrids__soc__depth_weighted_0_30cm,emp_symchange__s2_ndvi__season_mean,(emp_symchange__s2_ndvi__season_mean) - (soilgrids__soc__depth_weighted_0_30cm),1,0.2,16.0,0.6222067104081703,-0.6222067104081703,1.0
fold_municipality_grouped,sum::agro_pheno__y2025_s2_ndvi__auc::sat_basic_2025__sentinel_2__ndvi_promedio__mean,sum,agro_pheno__y2025_s2_ndvi__auc,sat_basic_2025__sentinel_2__ndvi_promedio__mean,(agro_pheno__y2025_s2_ndvi__auc) + (sat_basic_2025__sentinel_2__ndvi_promedio__mean),1,0.2,16.0,0.5143794463047751,0.5143794463047751,1.0
fold_municipality_grouped,reverse_difference::clim_official_2025__prec__season_sum::agro_thermal__2025__gdd_proxy_base5p0c,reverse_difference,clim_official_2025__prec__season_sum,agro_thermal__2025__gdd_proxy_base5p0c,(agro_thermal__2025__gdd_proxy_base5p0c) - (clim_official_2025__prec__season_sum),1,0.2,16.0,0.4707797340477538,0.4707797340477538,1.0
fold_municipality_grouped,product::siap_hist__yield_trend_recent::soilgrids__soc__depth_weighted_0_30cm,product,siap_hist__yield_trend_recent,soilgrids__soc__depth_weighted_0_30cm,(siap_hist__yield_trend_recent) * (soilgrids__soc__depth_weighted_0_30cm),1,0.2,17.0,0.7076209075840576,0.7076209075840576,1.0
fold_municipality_grouped,difference::soilgrids__soc__depth_weighted_0_30cm::agro_anomaly__s2_ndvi__season_mean_delta,difference,soilgrids__soc__depth_weighted_0_30cm,agro_anomaly__s2_ndvi__season_mean_delta,(soilgrids__soc__depth_weighted_0_30cm) - (agro_anomaly__s2_ndvi__season_mean_delta),1,0.2,17.0,0.621941924694015,0.621941924694015,1.0
fold_municipality_grouped,product::siap_hist__yield_mean_recent::soilgrids__cec__depth_weighted_0_30cm,product,siap_hist__yield_mean_recent,soilgrids__cec__depth_weighted_0_30cm,(siap_hist__yield_mean_recent) * (soilgrids__cec__depth_weighted_0_30cm),1,0.2,17.0,0.512400379612698,-0.512400379612698,1.0
fold_municipality_grouped,safe_ratio::clim_official_2025__prec__season_sum::siap_hist__yield_trend_recent,safe_ratio,clim_official_2025__prec__season_sum,siap_hist__yield_trend_recent,(clim_official_2025__prec__season_sum) / (abs(siap_hist__yield_trend_recent) + eps),1,0.2,17.0,0.4699916798732051,-0.4699916798732051,1.0
fold_municipality_grouped,symmetric_change::siap_hist__yield_trend_recent::soilgrids__cec__depth_weighted_0_30cm,symmetric_change,siap_hist__yield_trend_recent,soilgrids__cec__depth_weighted_0_30cm,2*((siap_hist__yield_trend_recent)-(soilgrids__cec__depth_weighted_0_30cm)) / (abs(siap_hist__yield_trend_recent)+abs(soilgrids__cec__depth_weighted_0_30cm)+eps),1,0.2,18.0,0.7053680781647536,0.7053680781647536,1.0
fold_municipality_grouped,reverse_safe_ratio::siap_hist__yield_trend_recent::wapor_2025__aeti__season_total,reverse_safe_ratio,siap_hist__yield_trend_recent,wapor_2025__aeti__season_total,(wapor_2025__aeti__season_total) / (abs(siap_hist__yield_trend_recent) + eps),1,0.2,18.0,0.6686435191320148,-0.6686435191320148,1.0
fold_municipality_grouped,reverse_difference::soilgrids__soc__depth_weighted_0_30cm::agro_anomaly__s2_ndvi__season_mean_delta,reverse_difference,soilgrids__soc__depth_weighted_0_30cm,agro_anomaly__s2_ndvi__season_mean_delta,(agro_anomaly__s2_ndvi__season_mean_delta) - (soilgrids__soc__depth_weighted_0_30cm),1,0.2,18.0,0.621941924694015,-0.621941924694015,1.0
fold_municipality_grouped,difference::agro_pheno__y2025_s2_ndvi__auc::agro_anomaly__s2_ndvi__season_mean_delta,difference,agro_pheno__y2025_s2_ndvi__auc,agro_anomaly__s2_ndvi__season_mean_delta,(agro_pheno__y2025_s2_ndvi__auc) - (agro_anomaly__s2_ndvi__season_mean_delta),1,0.2,18.0,0.5116220949585105,0.5116220949585105,1.0
fold_municipality_grouped,reverse_safe_ratio::siap_hist__yield_mean_recent::clim_official_2025__prec__season_sum,reverse_safe_ratio,siap_hist__yield_mean_recent,clim_official_2025__prec__season_sum,(clim_official_2025__prec__season_sum) / (abs(siap_hist__yield_mean_recent) + eps),1,0.2,19.0,0.6545501817022553,-0.6545501817022553,1.0
fold_municipality_grouped,sum::soilgrids__soc__depth_weighted_0_30cm::siap_hist__yield_mean_recent,sum,soilgrids__soc__depth_weighted_0_30cm,siap_hist__yield_mean_recent,(soilgrids__soc__depth_weighted_0_30cm) + (siap_hist__yield_mean_recent),1,0.2,19.0,0.6194841430646523,0.6194841430646523,1.0
fold_municipality_grouped,reverse_difference::agro_pheno__y2025_s2_ndvi__auc::agro_anomaly__s2_ndvi__season_mean_delta,reverse_difference,agro_pheno__y2025_s2_ndvi__auc,agro_anomaly__s2_ndvi__season_mean_delta,(agro_anomaly__s2_ndvi__season_mean_delta) - (agro_pheno__y2025_s2_ndvi__auc),1,0.2,19.0,0.5116220949585105,-0.5116220949585105,1.0
