position,ID_POLIGONO,meta_estado,meta_municipio,nearest_geo_km,nearest_agro_distance,best_temporal_similarity,adversarial_target_probability,x_geo_support,x_agro_support,x_temporal_support,x_adversarial_support,x_support_score,x_support_tier,recommended_method
148,AGC_149,Hidalgo,Cuautepec de Hinojosa,0.2537701996330149,7.173822504034142,0.9848013230590048,0.7570349131363729,0.7463768115942029,0.6811594202898551,0.717391304347826,0.043478260869565216,0.5471014492753624,mid,GeoKNN_10
152,AGC_153,Puebla,Chignahuapan,0.5161324619876495,7.781016308215723,0.9792018974543716,0.4798018824056859,0.3333333333333333,0.6086956521739131,0.42028985507246375,0.3695652173913043,0.43297101449275355,mid,GeoKNN_10
153,AGC_154,Puebla,Chignahuapan,0.2819466805047728,11.782436046633835,0.9787515487086614,0.6294805309501219,0.7101449275362319,0.17391304347826086,0.38405797101449274,0.17391304347826086,0.36050724637681164,mid,GeoKNN_10
155,AGC_156,Hidalgo,Singuilucan,0.7674317813596049,11.8460991766715,0.9808803803149028,0.3485617276387749,0.2246376811594203,0.16666666666666666,0.47101449275362317,0.6594202898550725,0.3804347826086957,mid,GeoKNN_10
157,AGC_158,Puebla,Chignahuapan,0.34268080812418705,3.627302653295985,0.993537562004746,0.3237193315307581,0.6159420289855072,0.9855072463768116,0.9710144927536232,0.6884057971014492,0.8152173913043478,high,LocalRidge_k30_a100
172,AGC_173,Tlaxcala,Calpulalpan,1.7017340247294221,27.562012430737376,0.9740715655929724,0.9949146558172396,0.06521739130434782,0.0,0.18840579710144928,0.0,0.06340579710144928,low,LocalRidge_k30_a100
173,AGC_174,Hidalgo,Cuautepec de Hinojosa,1.6451841750757326,10.705669039194287,0.96064287062783,0.6555224105452705,0.06521739130434782,0.2608695652173913,0.050724637681159424,0.13043478260869565,0.12681159420289856,low,LocalRidge_k30_a100
174,AGC_175,Puebla,Chignahuapan,0.2649527687505509,10.801889490929081,0.9730607944810212,0.7044057988816234,0.717391304347826,0.2536231884057971,0.17391304347826086,0.057971014492753624,0.3007246376811594,low,LocalRidge_k30_a100
176,AGC_177,Puebla,Chignahuapan,0.3646211631005995,5.936384362955973,0.974363524573031,0.5740253484503905,0.5797101449275363,0.8695652173913043,0.18840579710144928,0.2028985507246377,0.4601449275362319,mid,GeoKNN_10
181,AGC_182,Puebla,Chignahuapan,0.40077647339288053,7.295254832428753,0.9855775134988556,0.5166974276848324,0.5,0.6594202898550725,0.7608695652173914,0.3188405797101449,0.5597826086956522,mid,GeoKNN_10
182,AGC_183,Tlaxcala,Calpulalpan,1.0913105685769802,9.97547863075711,0.970742595001731,0.4994319709778829,0.12318840579710146,0.34057971014492755,0.13043478260869565,0.35507246376811596,0.23731884057971014,low,LocalRidge_k30_a100
185,AGC_186,Puebla,Chignahuapan,0.5508064343079505,8.38715904810784,0.9671898432167656,0.4029906917537865,0.3188405797101449,0.5362318840579711,0.10144927536231885,0.5507246376811594,0.37681159420289856,mid,GeoKNN_10
187,AGC_188,Puebla,Chignahuapan,0.3362434126980346,9.245977277778277,0.9821909994800412,0.7180071261854132,0.6376811594202898,0.41304347826086957,0.5434782608695652,0.057971014492753624,0.41304347826086957,mid,GeoKNN_10
189,AGC_190,Puebla,Chignahuapan,0.2895685811477332,6.0576246182397915,0.9926860851171556,0.4492448685853388,0.7101449275362319,0.8623188405797102,0.9710144927536232,0.42028985507246375,0.7409420289855073,high,LocalRidge_k30_a100
190,AGC_191,Puebla,Chignahuapan,0.21152008788524757,9.971443804746622,0.99102956708197,0.4885018188750321,0.7898550724637681,0.34057971014492755,0.9057971014492754,0.35507246376811596,0.5978260869565217,mid,GeoKNN_10
191,AGC_192,Puebla,Chignahuapan,0.7621753773773083,8.57215313668488,0.976085237978704,0.2987931963043221,0.2246376811594203,0.5,0.2608695652173913,0.7536231884057971,0.43478260869565216,mid,GeoKNN_10
