family,method,x_support_tier,n_predictions,rmse,mae
state_random,GlobalRidge_C1_10,mid,221,0.580769961570625,0.4362876871500929
state_random,Blend_Ridge100_Geo5,mid,221,0.5820268432591107,0.446525459001904
state_random,GlobalPLS_C0_8,mid,221,0.6235222740395902,0.4866083901580153
state_random,StateMean,mid,221,0.6430161067254814,0.4824362386792517
state_random,GlobalPLS_C0_12,mid,221,0.6611807111892428,0.5243819659504442
state_random,GlobalRidge_C1_100,mid,221,0.6921385233512156,0.5673431849552797
state_random,GlobalRidge_C1_1000,mid,221,0.8684685892930695,0.7654563059722399
state_random,GlobalMean,mid,221,0.9122769037419559,0.8100559779819938
target_matched,LocalRidge_k30_a100,high,89,0.31978926820744275,0.2532028217058914
target_matched,LocalRidge_k20_a100,high,89,0.32257319260315986,0.2620354477576829
target_matched,GeoAgro_25_75_KNN5,high,89,0.33134585781681486,0.27222855065948487
target_matched,Graph_k8_lam2,high,89,0.3326304653997156,0.26094167718553213
target_matched,MunicipalityShrink_3,high,89,0.33263502942870377,0.24714598961294262
target_matched,MunicipalityShrink_8,high,89,0.336965160983871,0.2535189292513318
target_matched,GlobalRidge_C1_10,high,89,0.34300080850836945,0.2846628315847722
target_matched,GeoKNN_10,high,89,0.34566198305687684,0.28407536033469616
target_matched,GeoAgro_75_25_KNN5,high,89,0.34594231329347197,0.27978226330906075
target_matched,GeoKNN_3,high,89,0.34617919981024714,0.28262579777603963
target_matched,AgroKNN_5,high,89,0.34941598783186,0.2861052267232648
target_matched,GeoAgro_50_50_KNN5,high,89,0.35226452217495835,0.29072998238740366
target_matched,GeoKNN_5,high,89,0.35587416627000173,0.2923930212476401
target_matched,StateMean,high,89,0.35599811441111084,0.2673017608080397
target_matched,Graph_k6_lam0p5,high,89,0.35617015568007443,0.2890603187245561
target_matched,GeoAgroTemporal_KNN5,high,89,0.3601178540043595,0.3004377851248572
target_matched,Blend_PLS8_Graph8,high,89,0.36291411932806067,0.29862242563408564
target_matched,Blend_Ridge100_Geo5,high,89,0.3655686526486962,0.3065577000454422
target_matched,Blend_PLS8_Geo5,high,89,0.3839883870770759,0.3153703495851299
target_matched,GlobalPLS_C0_4,high,89,0.44130240300058227,0.3346678571856008
target_matched,GlobalPLS_C0_8,high,89,0.46874908744549154,0.38991588131626337
target_matched,GlobalRidge_C1_100,high,89,0.4768129538742323,0.40079503708983955
target_matched,GlobalPLS_C0_12,high,89,0.4956829087991568,0.4040971586700466
