protocol,ablation,model,fold,n_features,n_train,n_validation,rmse,mae,r2
fold_municipality_grouped,A0_geometry_admin,DummyMean,2,12,122,16,1.0743137344370122,0.9887499999999994,-5.538225271077666
fold_municipality_grouped,A0_geometry_admin,DummyMean,3,12,128,10,0.6354992856337572,0.609828125,-11.632842504958402
fold_municipality_grouped,A0_geometry_admin,DummyMean,4,12,65,73,1.220623514356475,1.1397260273972605,-3.1738649731530115
fold_municipality_grouped,A0_geometry_admin,DummyMean,5,12,132,6,0.8486810277805203,0.7869696969696968,-0.14975286243523267
fold_municipality_grouped,A0_geometry_admin,Ridge,1,12,105,33,1.0878389143073273,1.0175719672863879,-7.341200810946173
fold_municipality_grouped,A0_geometry_admin,Ridge,2,12,122,16,1.5656470685184887,1.5079749158878866,-12.886262231668459
fold_municipality_grouped,A0_geometry_admin,Ridge,3,12,128,10,0.3099738309399125,0.2550464746225778,-2.0055296026639966
fold_municipality_grouped,A0_geometry_admin,Ridge,4,12,65,73,1.3595858646183951,1.2873051011296253,-4.178311985774122
fold_municipality_grouped,A0_geometry_admin,Ridge,5,12,132,6,0.5148010410746163,0.435923542003565,0.5769474227192005
fold_municipality_grouped,A0_geometry_admin,ExtraTrees,1,12,105,33,1.1567915880179485,1.0894990804164124,-8.432126999099001
fold_municipality_grouped,A0_geometry_admin,ExtraTrees,2,12,122,16,1.3502170400075098,1.2830662571613303,-9.32772803966409
fold_municipality_grouped,A0_geometry_admin,ExtraTrees,3,12,128,10,0.5120460407288144,0.49449329215928756,-7.201418493729999
fold_municipality_grouped,A0_geometry_admin,ExtraTrees,4,12,65,73,1.2737109290205928,1.2014957904149466,-3.5448199404157084
fold_municipality_grouped,A0_geometry_admin,ExtraTrees,5,12,132,6,0.6115436898066765,0.5909946340913941,0.4030052791746612
fold_municipality_grouped,A1_static_environment,DummyMean,1,115,105,33,1.2537939836892478,1.1958787878787878,-10.080306122977344
fold_municipality_grouped,A1_static_environment,DummyMean,2,115,122,16,1.0743137344370122,0.9887499999999994,-5.538225271077666
fold_municipality_grouped,A1_static_environment,DummyMean,3,115,128,10,0.6354992856337572,0.609828125,-11.632842504958402
fold_municipality_grouped,A1_static_environment,DummyMean,4,115,65,73,1.220623514356475,1.1397260273972605,-3.1738649731530115
fold_municipality_grouped,A1_static_environment,DummyMean,5,115,132,6,0.8486810277805203,0.7869696969696968,-0.14975286243523267
fold_municipality_grouped,A1_static_environment,Ridge,1,115,105,33,0.9957079244720975,0.8758577974510029,-5.988167773221771
fold_municipality_grouped,A1_static_environment,Ridge,2,115,122,16,1.3373004324734308,1.1469942170826908,-9.131076484920735
fold_municipality_grouped,A1_static_environment,Ridge,3,115,128,10,0.9835613381580591,0.9298093030684893,-29.260343017275193
fold_municipality_grouped,A1_static_environment,Ridge,4,115,65,73,1.0813928141312439,0.9438335193286308,-2.2759848895553136
fold_municipality_grouped,A1_static_environment,Ridge,5,115,132,6,0.5703074972130198,0.4824676941401491,0.4808012074447333
fold_municipality_grouped,A1_static_environment,ExtraTrees,1,115,105,33,0.9853793559787224,0.9085294119769128,-5.843941912497516
fold_municipality_grouped,A1_static_environment,ExtraTrees,2,115,122,16,1.382693130574008,1.3143266509589937,-9.830518147691015
fold_municipality_grouped,A1_static_environment,ExtraTrees,3,115,128,10,0.6683464275768033,0.6475714510582018,-12.972502963954913
fold_municipality_grouped,A1_static_environment,ExtraTrees,4,115,65,73,1.1082624324650956,1.0242708652243235,-2.4408057476714466
fold_municipality_grouped,A1_static_environment,ExtraTrees,5,115,132,6,0.7157289079412527,0.6783753860028862,0.18226491954806823
fold_municipality_grouped,A2_static_plus_siap_history,DummyMean,1,129,105,33,1.2537939836892478,1.1958787878787878,-10.080306122977344
fold_municipality_grouped,A2_static_plus_siap_history,DummyMean,2,129,122,16,1.0743137344370122,0.9887499999999994,-5.538225271077666
fold_municipality_grouped,A2_static_plus_siap_history,DummyMean,3,129,128,10,0.6354992856337572,0.609828125,-11.632842504958402
fold_municipality_grouped,A2_static_plus_siap_history,DummyMean,4,129,65,73,1.220623514356475,1.1397260273972605,-3.1738649731530115
fold_municipality_grouped,A2_static_plus_siap_history,DummyMean,5,129,132,6,0.8486810277805203,0.7869696969696968,-0.14975286243523267
fold_municipality_grouped,A2_static_plus_siap_history,Ridge,1,129,105,33,0.5391635122285425,0.42478853493534713,-1.0489925695040432
fold_municipality_grouped,A2_static_plus_siap_history,Ridge,2,129,122,16,1.3928531960348325,1.2180754727356544,-9.99026878912013
fold_municipality_grouped,A2_static_plus_siap_history,Ridge,3,129,128,10,1.113278406907124,1.0439522975695348,-37.76845729568213
fold_municipality_grouped,A2_static_plus_siap_history,Ridge,4,129,65,73,0.8290302245748153,0.6202614947507658,-0.9253764685421755
fold_municipality_grouped,A2_static_plus_siap_history,Ridge,5,129,132,6,0.9167041094230126,0.7600898738410932,-0.3414480812159131
