family,method,n_splits,n_predictions,rmse_mean,rmse_median,rmse_std,rmse_worst,pooled_rmse,pooled_mae,pooled_r2,method_family,kind,representation,distance_name,k,alpha,distance_power,regularization
target_matched,LocalRidge_C4_all_deterministic_Geo_k16_a100_p1,16,656,0.49403595656296245,0.47604471637217227,0.08666932332014915,0.698674996971138,0.5011123873509371,0.3544253596132854,0.6468098851074305,local,local,C4_all_deterministic,Geo,16.0,100.0,1.0,
target_matched,LocalRidge_C4_all_deterministic_GeoAgro50_k16_a100_p1,16,656,0.494068934306224,0.4790812407317443,0.08847562001116924,0.6947700328371298,0.5014407255342611,0.3492792326063641,0.6463468999763589,local,local,C4_all_deterministic,GeoAgro50,16.0,100.0,1.0,
target_matched,LocalRidge_C4_all_deterministic_GeoAgro75_k24_a300_p1,16,656,0.4941535248439818,0.47919492102763744,0.09228462459305302,0.6959790538041056,0.5021671831233049,0.3408418235410528,0.6453214544304434,local,local,C4_all_deterministic,GeoAgro75,24.0,300.0,1.0,
target_matched,LocalRidge_C1_agronomic_GeoAgro50_k16_a100_p1,16,656,0.4941789855763657,0.47727507696627747,0.08912127380999457,0.6954977835681552,0.5016563152602159,0.34981559769418086,0.6460427349525624,local,local,C1_agronomic,GeoAgro50,16.0,100.0,1.0,
target_matched,LocalRidge_C4_all_deterministic_GeoAgro50_k20_a100_p1,16,656,0.4942257138057612,0.4784960356087624,0.08983110227945812,0.6912157755121345,0.5018210153431304,0.3436039492940361,0.6458102795486815,local,local,C4_all_deterministic,GeoAgro50,20.0,100.0,1.0,
target_matched,LocalRidge_C1_agronomic_GeoAgro75_k24_a300_p1,16,656,0.4942367805159462,0.4789812974667046,0.09223375845559607,0.6960540158163104,0.5022403506053501,0.3413218111862836,0.645218091138069,local,local,C1_agronomic,GeoAgro75,24.0,300.0,1.0,
target_matched,LocalRidge_C1_agronomic_GeoAgro75_k16_a100_p1,16,656,0.49424731467295335,0.475160306186029,0.08807569479618226,0.6973577852490692,0.501550499027158,0.3529877828521405,0.6461920422496542,local,local,C1_agronomic,GeoAgro75,16.0,100.0,1.0,
target_matched,LocalRidge_C1_agronomic_Geo_k16_a30_p0p5,16,656,0.4942633790114228,0.4797196805681684,0.08817040498890566,0.6970981032540821,0.5015819293773978,0.3534589854481896,0.6461476971379019,local,local,C1_agronomic,Geo,16.0,30.0,0.5,
target_matched,LocalRidge_C4_all_deterministic_GeoAgro75_k16_a100_p1,16,656,0.4942655560258906,0.47659887076356927,0.08752126683626735,0.6966324785636835,0.501477480813365,0.35299346020290534,0.6462950529917382,local,local,C4_all_deterministic,GeoAgro75,16.0,100.0,1.0,
target_matched,LocalRidge_C4_all_deterministic_GeoAgro75_k24_a30_p0p5,16,656,0.49453961280151515,0.47936605888396855,0.09458883469212982,0.702607638338839,0.5029485916077922,0.3408375051694474,0.6442167846475062,local,local,C4_all_deterministic,GeoAgro75,24.0,30.0,0.5,
