neighbor_scope,pair_type,query_id,neighbor_id,rank,n_series,pearson_mean,spearman_mean,best_lag_corr_mean,best_lag_median_months,dtw_mean
target_to_train,target_train,AGC_029,AGC_053,1,11,0.8627795750570576,0.853896103896104,0.9593571403191427,0.0,0.2887481803710102
target_to_train,target_train,AGC_029,AGC_004,2,11,0.95552328396356,0.9111991049045909,0.95552328396356,0.0,0.22425558421138161
target_to_train,target_train,AGC_029,AGC_001,3,11,0.9527430661052722,0.9435064935064936,0.9527430661052722,0.0,0.2138708466450958
target_to_train,target_train,AGC_029,AGC_117,4,11,0.8975574369141431,0.8831168831168832,0.9479922750800239,0.0,0.2595352247453894
target_to_train,target_train,AGC_029,AGC_170,5,11,0.947902865935549,0.9155844155844158,0.947902865935549,0.0,0.19566678498404763
target_to_train,target_train,AGC_030,AGC_181,1,11,0.8268506214405044,0.8279220779220782,0.9760876433271847,0.0,0.21716826221889954
target_to_train,target_train,AGC_030,AGC_058,2,11,0.8557211344957849,0.834004222678356,0.9754389049729567,0.0,0.19662437398637495
target_to_train,target_train,AGC_030,AGC_197,3,11,0.8218420624874139,0.8051948051948052,0.97503532853875,0.0,0.23668568768434
target_to_train,target_train,AGC_030,AGC_102,4,11,0.8263734301436249,0.8214285714285716,0.9711031160713822,0.0,0.24271704147074766
target_to_train,target_train,AGC_030,AGC_151,5,11,0.7206624823372003,0.7305194805194808,0.9699614221734549,-1.0,0.3221460148274222
target_to_train,target_train,AGC_031,AGC_073,1,11,0.9793244124312476,0.9439604671844296,0.9793244124312476,0.0,0.15358724200653173
target_to_train,target_train,AGC_031,AGC_133,2,11,0.9768602305357958,0.8993506493506495,0.9768602305357958,0.0,0.15015360993506166
target_to_train,target_train,AGC_031,AGC_115,3,11,0.9763099497464299,0.918831168831169,0.9763099497464299,0.0,0.14766680727636958
target_to_train,target_train,AGC_031,AGC_017,4,11,0.9466725157623649,0.8668831168831169,0.9755235498057914,0.0,0.16493388876193252
target_to_train,target_train,AGC_031,AGC_176,5,11,0.9531225123099422,0.892857142857143,0.9750235090408107,0.0,0.17676397258544085
target_to_train,target_train,AGC_036,AGC_102,1,11,0.7650744475108986,0.7272727272727273,0.9611809420005485,1.0,0.35673893203057505
target_to_train,target_train,AGC_036,AGC_047,2,11,0.7841398628671645,0.7435064935064936,0.960418076269698,1.0,0.35714569705769833
target_to_train,target_train,AGC_036,AGC_002,3,11,0.9579923664622586,0.9253246753246757,0.9579923664622586,0.0,0.1877072886341381
target_to_train,target_train,AGC_036,AGC_101,4,11,0.7742510553212377,0.7175324675324677,0.9555331613872887,1.0,0.36376259187211846
target_to_train,target_train,AGC_036,AGC_017,5,11,0.834355839651083,0.7987012987012988,0.9552268422627446,1.0,0.36587566939326965
target_to_train,target_train,AGC_039,AGC_103,1,11,0.9956336615862014,0.9740259740259741,0.9956336615862014,0.0,0.06183103347535068
target_to_train,target_train,AGC_039,AGC_019,2,11,0.9827667569467992,0.9512987012987014,0.9827667569467992,0.0,0.13875046840807495
target_to_train,target_train,AGC_039,AGC_020,3,11,0.9766421796843712,0.9245093306851405,0.9766421796843712,0.0,0.13273488991746965
target_to_train,target_train,AGC_039,AGC_187,4,11,0.9705085778506536,0.8961626620663575,0.9705085778506536,0.0,0.12513920888096372
target_to_train,target_train,AGC_039,AGC_044,5,11,0.9686041645489216,0.9512987012987015,0.9686041645489216,0.0,0.15194307856054423
target_to_train,target_train,AGC_042,AGC_038,1,11,0.9838209803259613,0.9518890200708384,0.9838209803259613,0.0,0.1388934134826464
target_to_train,target_train,AGC_042,AGC_034,2,11,0.9787013416530086,0.9655844155844158,0.9787013416530086,0.0,0.13815871083282458
