pair_type,query_id,neighbor_id,n_series,pearson_mean,spearman_mean,best_lag_corr_mean,best_lag_median_months,dtw_mean
target_train,AGC_003,AGC_079,11,0.946267650221425,0.8993506493506497,0.946267650221425,0.0,0.22421650012656047
target_train,AGC_003,AGC_080,11,0.8622210989670873,0.8727272727272729,0.8770657413519332,0.0,0.3094799593872548
target_train,AGC_003,AGC_081,11,0.94476807170205,0.9253246753246755,0.94476807170205,0.0,0.2528911413360306
target_train,AGC_003,AGC_083,11,0.9093371912030661,0.8641946402797452,0.9180346868545524,0.0,0.30527953663554475
target_train,AGC_003,AGC_084,11,0.7489929912098584,0.6655844155844157,0.8040168662915708,1.0,0.38647692818678275
target_train,AGC_003,AGC_089,11,0.7369251930169546,0.7824675324675329,0.871119631544002,-1.0,0.44300750782546383
target_train,AGC_003,AGC_090,11,0.8338570315301752,0.7792207792207794,0.9318272518905425,0.0,0.30722052816770856
target_train,AGC_003,AGC_092,11,0.6926332413945063,0.7077922077922079,0.9039049194284526,2.0,0.426891116059312
target_train,AGC_003,AGC_096,11,0.8757313881158754,0.8214285714285716,0.9332493652286491,0.0,0.30133420599718647
target_train,AGC_003,AGC_097,11,0.7168602778901063,0.7142857142857145,0.8580849013252885,1.0,0.36155055124315294
target_train,AGC_003,AGC_098,11,0.8304958247224253,0.824675324675325,0.8503940590821113,1.0,0.3515473753843603
target_train,AGC_003,AGC_099,11,0.8049825741509811,0.8149350649350652,0.8819026902058912,1.0,0.3369086028108316
target_train,AGC_003,AGC_100,11,0.8808579003157199,0.8085590903664811,0.9224139596100559,0.0,0.32340738798181357
target_train,AGC_003,AGC_101,11,0.8909339596580338,0.8311688311688313,0.9459959581531908,0.0,0.27418953002105284
target_train,AGC_003,AGC_102,11,0.9050712873848435,0.8506493506493509,0.9582480114603255,0.0,0.22402442794987995
target_train,AGC_003,AGC_103,11,0.7857286974252369,0.8149350649350652,0.9162956725654623,-1.0,0.4210454110176741
target_train,AGC_003,AGC_104,11,0.8320066042804708,0.827922077922078,0.9234674026781153,-1.0,0.3605801849044109
target_train,AGC_003,AGC_105,11,0.7907379407876859,0.7609669661170233,0.8620965653394844,0.0,0.40106320994678357
target_train,AGC_003,AGC_106,11,0.777017726051591,0.7012987012987014,0.9481879320816815,-1.0,0.3253748391144725
target_train,AGC_003,AGC_108,11,0.8227613962753874,0.7629870129870131,0.897105573071417,1.0,0.3659981564704537
target_train,AGC_003,AGC_109,11,0.7999633198061766,0.694805194805195,0.903987559271317,-1.0,0.4020309027711187
target_train,AGC_003,AGC_110,11,0.8082397292915299,0.6461038961038962,0.8953430237864225,0.0,0.39701132851937887
target_train,AGC_003,AGC_111,11,0.8951853353232689,0.8200549501456552,0.9001029992532416,0.0,0.32992984379449114
target_train,AGC_003,AGC_112,11,0.8669836073666214,0.8149350649350651,0.939130645976451,0.0,0.2564417716490746
target_train,AGC_003,AGC_114,11,0.9439376515066105,0.8863636363636366,0.9439376515066105,0.0,0.23815164446635684
target_train,AGC_003,AGC_115,11,0.810751195455073,0.7662337662337664,0.9490656752582146,-1.0,0.3351908462270451
target_train,AGC_003,AGC_117,11,0.7711030652415926,0.7402597402597404,0.8676216602787751,1.0,0.3602295120825923
target_train,AGC_003,AGC_119,11,0.8894065297829705,0.8344155844155846,0.9220575488083947,0.0,0.33078697126286494
target_train,AGC_003,AGC_121,11,0.8769555007819198,0.8149350649350651,0.9338213128198792,0.0,0.26194847954286576
target_train,AGC_003,AGC_122,11,0.8228352797812057,0.8441558441558444,0.9217198498112353,-1.0,0.3770678184111526
target_train,AGC_003,AGC_123,11,0.8157835978186284,0.8181818181818183,0.9122573871330295,-1.0,0.3562266539088761
target_train,AGC_003,AGC_124,11,0.7441657020335172,0.6948051948051949,0.8652169114771138,1.0,0.3711217387471242
target_train,AGC_003,AGC_125,11,0.708196692291692,0.6850649350649353,0.9648563005900445,-1.0,0.3622332336968015
target_train,AGC_003,AGC_127,11,0.8451990197204636,0.8002512178715989,0.9238629841987085,0.0,0.3322619316465053
target_train,AGC_003,AGC_131,11,0.884550630089852,0.8571428571428575,0.9581613994138237,0.0,0.2382424172620297
target_train,AGC_003,AGC_132,11,0.9073531313248897,0.8214285714285716,0.9073531313248897,0.0,0.3110768066953456
target_train,AGC_003,AGC_133,11,0.8803778397291964,0.8344155844155846,0.9119235088337789,0.0,0.3004394959590392
target_train,AGC_003,AGC_134,11,0.6322746264443639,0.6720779220779223,0.8749812520368583,-1.0,0.413267802859312
