neighbor_scope,metric,representation,query_id,query_split,neighbor_id,neighbor_split,rank,distance,same_state,same_municipality,neighbor_y
target_to_train,euclidean_pca,C0_base,AGC_065,PREDICCION,AGC_051,ENTRENAMIENTO,3,28.832005046822125,True,True,4.45
target_to_train,euclidean_pca,C0_base,AGC_065,PREDICCION,AGC_180,ENTRENAMIENTO,4,30.61432513556196,True,True,4.14
target_to_train,euclidean_pca,C0_base,AGC_065,PREDICCION,AGC_152,ENTRENAMIENTO,5,33.979453073385116,True,True,4.87
target_to_train,euclidean_pca,C0_base,AGC_071,PREDICCION,AGC_058,ENTRENAMIENTO,1,9.976823708018166,True,True,2.5
target_to_train,euclidean_pca,C0_base,AGC_071,PREDICCION,AGC_037,ENTRENAMIENTO,2,14.286696579646064,True,True,3.5
target_to_train,euclidean_pca,C0_base,AGC_071,PREDICCION,AGC_163,ENTRENAMIENTO,3,14.938951983663094,True,True,3.0
target_to_train,euclidean_pca,C0_base,AGC_071,PREDICCION,AGC_068,ENTRENAMIENTO,4,16.27631930215282,True,True,2.5
target_to_train,euclidean_pca,C0_base,AGC_071,PREDICCION,AGC_138,ENTRENAMIENTO,5,16.633094068175765,True,True,2.5
target_to_train,euclidean_pca,C0_base,AGC_075,PREDICCION,AGC_058,ENTRENAMIENTO,1,16.953249090034188,True,True,2.5
target_to_train,euclidean_pca,C0_base,AGC_075,PREDICCION,AGC_037,ENTRENAMIENTO,2,18.141012922915998,True,True,3.5
target_to_train,euclidean_pca,C0_base,AGC_075,PREDICCION,AGC_053,ENTRENAMIENTO,3,19.722108029093437,True,True,3.5
target_to_train,euclidean_pca,C0_base,AGC_075,PREDICCION,AGC_138,ENTRENAMIENTO,4,20.310238261392026,True,True,2.5
target_to_train,euclidean_pca,C0_base,AGC_075,PREDICCION,AGC_163,ENTRENAMIENTO,5,20.937345389944177,True,True,3.0
target_to_train,euclidean_pca,C0_base,AGC_076,PREDICCION,AGC_189,ENTRENAMIENTO,1,19.766339942393735,True,True,4.03
target_to_train,euclidean_pca,C0_base,AGC_076,PREDICCION,AGC_024,ENTRENAMIENTO,2,20.19787770871131,True,True,3.03
target_to_train,euclidean_pca,C0_base,AGC_076,PREDICCION,AGC_167,ENTRENAMIENTO,3,20.327030298387996,True,True,4.54
target_to_train,euclidean_pca,C0_base,AGC_076,PREDICCION,AGC_195,ENTRENAMIENTO,4,22.070016781921662,True,True,3.68
target_to_train,euclidean_pca,C0_base,AGC_076,PREDICCION,AGC_015,ENTRENAMIENTO,5,22.664831271662962,True,True,2.64
target_to_train,euclidean_pca,C0_base,AGC_082,PREDICCION,AGC_189,ENTRENAMIENTO,1,22.095680364995125,False,False,4.03
target_to_train,euclidean_pca,C0_base,AGC_082,PREDICCION,AGC_184,ENTRENAMIENTO,2,26.45003199627168,True,True,4.47
target_to_train,euclidean_pca,C0_base,AGC_082,PREDICCION,AGC_134,ENTRENAMIENTO,3,26.496786992065,True,True,4.52
target_to_train,euclidean_pca,C0_base,AGC_082,PREDICCION,AGC_176,ENTRENAMIENTO,4,26.660599164110025,False,False,4.38
target_to_train,euclidean_pca,C0_base,AGC_082,PREDICCION,AGC_060,ENTRENAMIENTO,5,27.452272792039928,False,False,4.52
target_to_train,euclidean_pca,C0_base,AGC_085,PREDICCION,AGC_026,ENTRENAMIENTO,1,13.832116645087682,True,True,3.55
target_to_train,euclidean_pca,C0_base,AGC_085,PREDICCION,AGC_104,ENTRENAMIENTO,2,18.32809771512328,True,True,4.56
target_to_train,euclidean_pca,C0_base,AGC_085,PREDICCION,AGC_106,ENTRENAMIENTO,3,21.599879036714256,True,True,4.43
target_to_train,euclidean_pca,C0_base,AGC_085,PREDICCION,AGC_150,ENTRENAMIENTO,4,22.112395191623744,True,True,4.52
target_to_train,euclidean_pca,C0_base,AGC_085,PREDICCION,AGC_195,ENTRENAMIENTO,5,22.73436647110875,True,True,3.68
target_to_train,euclidean_pca,C0_base,AGC_086,PREDICCION,AGC_141,ENTRENAMIENTO,1,12.329219139163362,True,True,3.5
target_to_train,euclidean_pca,C0_base,AGC_086,PREDICCION,AGC_099,ENTRENAMIENTO,2,14.15929688484434,True,True,3.5
target_to_train,euclidean_pca,C0_base,AGC_086,PREDICCION,AGC_053,ENTRENAMIENTO,3,16.465289220826225,True,True,3.5
target_to_train,euclidean_pca,C0_base,AGC_086,PREDICCION,AGC_163,ENTRENAMIENTO,4,17.00629077418008,True,True,3.0
target_to_train,euclidean_pca,C0_base,AGC_086,PREDICCION,AGC_157,ENTRENAMIENTO,5,17.584886883865135,True,True,3.0
target_to_train,euclidean_pca,C0_base,AGC_087,PREDICCION,AGC_054,ENTRENAMIENTO,1,9.676523325053843,True,True,2.5
target_to_train,euclidean_pca,C0_base,AGC_087,PREDICCION,AGC_123,ENTRENAMIENTO,2,15.075151383732926,True,True,2.5
target_to_train,euclidean_pca,C0_base,AGC_087,PREDICCION,AGC_144,ENTRENAMIENTO,3,16.835893701881837,True,True,2.5
target_to_train,euclidean_pca,C0_base,AGC_087,PREDICCION,AGC_046,ENTRENAMIENTO,4,21.047305576798212,True,True,3.0
target_to_train,euclidean_pca,C0_base,AGC_087,PREDICCION,AGC_058,ENTRENAMIENTO,5,21.310543265744414,True,True,2.5
target_to_train,euclidean_pca,C0_base,AGC_088,PREDICCION,AGC_165,ENTRENAMIENTO,1,11.566025763011616,True,True,4.44
target_to_train,euclidean_pca,C0_base,AGC_088,PREDICCION,AGC_006,ENTRENAMIENTO,2,16.725314961236233,True,True,4.49
target_to_train,euclidean_pca,C0_base,AGC_088,PREDICCION,AGC_013,ENTRENAMIENTO,3,18.027649815485518,True,True,4.01
target_to_train,euclidean_pca,C0_base,AGC_088,PREDICCION,AGC_072,ENTRENAMIENTO,4,20.027022819273622,True,True,4.55
target_to_train,euclidean_pca,C0_base,AGC_088,PREDICCION,AGC_132,ENTRENAMIENTO,5,23.96664363248163,True,True,4.13
target_to_train,euclidean_pca,C0_base,AGC_091,PREDICCION,AGC_167,ENTRENAMIENTO,1,19.82633695704348,True,True,4.54
target_to_train,euclidean_pca,C0_base,AGC_091,PREDICCION,AGC_111,ENTRENAMIENTO,2,25.746907841258363,True,True,4.72
target_to_train,euclidean_pca,C0_base,AGC_091,PREDICCION,AGC_092,ENTRENAMIENTO,3,27.46107133130422,True,True,4.57
